Drug Name,Disease,Source Key
rituximab,in patients achieving a complete,rituximab
rituximab,follicular lymphoma as a single agent,rituximab
rituximab,previously treated CLL in combination,rituximab
rituximab,adult patients with: Follicular Lymphoma,rituximab
rituximab,chemotherapy Diffuse Large B-cell Lymphoma,rituximab
rituximab,partial response to rituximab in combination,rituximab
rituximab,other anthracycline-based chemotherapy regimens,rituximab
rituximab,as single-agent maintenance therapy Non-progressing,rituximab
rituximab,Previously untreated diffuse large B-cell lymphoma in combination,rituximab
rituximab,other anthracycline-based chemotherapy regimens Chronic Lymphocytic Leukemia,rituximab
rituximab,follicular lymphoma as a single agent Previously untreated follicular lymphoma in combination,rituximab
rituximab,low-grade,rituximab
rituximab,follicular,rituximab
rituximab,refractory,rituximab
rituximab,CD20-positive,rituximab
rituximab,adult patients,rituximab
rituximab,Microscopic Polyangiitis,rituximab
rituximab,Wegener’s Granulomatosis,rituximab
rituximab,B-cell NHL as a single agent,rituximab
rituximab,adult patients with: Relapsed,rituximab
rituximab,more TNF antagonist therapies,rituximab
rituximab,adult patients with: Non-Hodgkin's Lymphoma,rituximab
rituximab,adult,rituximab
rituximab,DLBCL,rituximab
rituximab,older,rituximab
rituximab,low-grade,rituximab
rituximab,follicular,rituximab
rituximab,refractory,rituximab
rituximab,CD20-positive,rituximab
rituximab,adult patients,rituximab
rituximab,Adult patients,rituximab
rituximab,advanced stage,rituximab
rituximab,in combination,rituximab
rituximab,Burkitt lymphoma,rituximab
rituximab,Burkitt-like lymphoma,rituximab
rituximab,Microscopic Polyangiitis,rituximab
rituximab,Wegener's Granulomatosis,rituximab
rituximab,B-cell NHL as a single agent,rituximab
rituximab,mature B-cell acute leukemia,rituximab
rituximab,treatment of: Adult patients,rituximab
rituximab,adult patients with: Relapsed,rituximab
rituximab,more TNF antagonist therapies,rituximab
rituximab,older with: Previously untreated,rituximab
rituximab,pediatric patients aged 6 months,rituximab
rituximab,pediatric patients 2 years of age,rituximab
rituximab,previously treated CD20-positive CLL,rituximab
rituximab,CD20-positive diffuse large B-cell lymphoma,rituximab
rituximab,low-grade,rituximab
rituximab,follicular,rituximab
rituximab,refractory,rituximab
rituximab,CD20-positive,rituximab
rituximab,Adult patients,rituximab
rituximab,adult patients,rituximab
rituximab,Microscopic Polyangiitis,rituximab
rituximab,Wegener's Granulomatosis,rituximab
rituximab,B-cell NHL as a single agent,rituximab
rituximab,treatment of: Adult patients,rituximab
rituximab,adult patients with: Relapsed,rituximab
rituximab,more TNF antagonist therapies,rituximab
rituximab,previously treated CD20-positive CLL,rituximab
rituximab,Relapsed,rituximab
rituximab,low-grade,rituximab
rituximab,follicular,rituximab
rituximab,refractory,rituximab
rituximab,treatment of,rituximab
rituximab,CD20-positive,rituximab
rituximab,Adult patients,rituximab
rituximab,adult patients,rituximab
rituximab,adult patients with,rituximab
rituximab,antagonist therapies,rituximab
rituximab,Microscopic Polyangiitis,rituximab
rituximab,Wegener's Granulomatosis,rituximab
rituximab,more Tumor Necrosis Factor,rituximab
rituximab,B-cell NHL as a single agent,rituximab
rituximab,previously treated CD20-positive CLL,rituximab
margetuximab-cmkb,in combination,margetuximab-cmkb
margetuximab-cmkb,MARGENZA is indicated,margetuximab-cmkb
margetuximab-cmkb,more prior anti-HER2 regimens,margetuximab-cmkb
margetuximab-cmkb,the treatment of adult patients,margetuximab-cmkb
margetuximab-cmkb,at least one of which was for metastatic disease,margetuximab-cmkb
margetuximab-cmkb,at least one of which was for metastatic disease [see MARGENZA is a HER2/neu receptor antagonist indicated,margetuximab-cmkb
margetuximab-cmkb,in combination,margetuximab-cmkb
margetuximab-cmkb,MARGENZA is indicated,margetuximab-cmkb
margetuximab-cmkb,more prior anti-HER2 regimens,margetuximab-cmkb
margetuximab-cmkb,the treatment of adult patients,margetuximab-cmkb
margetuximab-cmkb,at least one of which was for metastatic disease,margetuximab-cmkb
margetuximab-cmkb,at least one of which was for metastatic disease [see MARGENZA is a HER2/neu receptor antagonist indicated,margetuximab-cmkb
ansuvimab-zykl,EBOV GP,ansuvimab-zykl
ansuvimab-zykl,ansuvimab-zykl,ansuvimab-zykl
ansuvimab-zykl,pediatric patients,ansuvimab-zykl
ansuvimab-zykl,is a Zaire ebolavirus glycoprotein,ansuvimab-zykl
ansuvimab-zykl,infection caused by Zaire ebolavirus in adult,ansuvimab-zykl
ansuvimab-zykl,neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection,ansuvimab-zykl
ansuvimab-zykl,neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection [see EBANGA™,ansuvimab-zykl
