Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLINDAMYCIN PALMITATE HYDROCHLORIDE,VN9A8JM7M7,chemical,approved,CLINDAMYCIN PALMITATE HYDROCHLORIDE,exact_full,chemical,C34H63ClN2O6S.ClH,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@H]([C@H]([C@@]([H])([C@@]([H])([C@H](C)Cl)NC(=O)[C@@H]2C[C@@H](CCC)CN2C)O[C@@H]1SC)O)O.Cl
CLINDAMYCIN PHOSPHATE,Clindamycin Phosphate,EH6D7113I8,chemical,approved,CLINDAMYCIN PHOSPHATE,exact_full,chemical,C18H34ClN2O8PS,CCC[C@@H]1C[C@@H](C(=O)N[C@]([H])([C@H](C)Cl)[C@]2([H])[C@@H]([C@@H]([C@H]([C@H](O2)SC)OP(=O)(O)O)O)O)N(C)C1
CLINDAMYCIN PHOSPHATE; TRETINOIN,Clindamycin Phosphate | Tretinoin,EH6D7113I8 | 5688UTC01R,chemical,approved | approved,CLINDAMYCIN PHOSPHATE; TRETINOIN,"combination(exact_full,exact_full)",chemical,,
CLOBAZAM,Clobazam,2MRO291B4U,chemical,approved,CLOBAZAM,exact_full,chemical,C16H13ClN2O2,CN1c2ccc(cc2N(c3ccccc3)C(=O)CC1=O)Cl
CLOBETASOL PROPIONATE,Clobetasol propionate,779619577M,chemical,approved,CLOBETASOL PROPIONATE,exact_full,chemical,C25H32ClFO5,CCC(=O)O[C@@]1([C@@H](C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@@]21C)O)F)C(=O)CCl
CLOCORTOLONE PIVALATE,CLOCORTOLONE PIVALATE,QBL8IZH14X,chemical,approved,CLOCORTOLONE PIVALATE,exact_full,chemical,C27H36ClFO5,C[C@@H]1C[C@@]2([H])[C@]3([H])C[C@@H](C4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C)O)Cl)F
CLOFARABINE,CLOFARABINE,762RDY0Y2H,chemical,approved,CLOFARABINE,exact_full,chemical,C10H11ClFN5O3,C([C@@H]1[C@H]([C@@H]([C@H](n2cnc3c(N)nc(Cl)nc32)O1)F)O)O
CLOMIPHENE CITRATE,CLOMIPHENE CITRATE,1B8447E7YI,mixture,approved,CLOMIPHENE CITRATE,exact_full,mixture,,
CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,2LXW0L6GWJ,chemical,approved,CLOMIPRAMINE HYDROCHLORIDE,exact_full,chemical,C19H23ClN2.ClH,CN(C)CCCN1c2ccccc2CCc3ccc(cc31)Cl.Cl
CLONAZEPAM,Clonazepam,5PE9FDE8GB,chemical,approved,CLONAZEPAM,exact_full,chemical,C15H10ClN3O3,c1ccc(c(c1)C2=NCC(=O)Nc3ccc(cc32)[N+](=O)[O-])Cl
CLONIDINE,CLONIDINE,MN3L5RMN02,chemical,approved,CLONIDINE,exact_full,chemical,C9H9Cl2N3,c1cc(c(c(c1)Cl)NC2=NCCN2)Cl
CLONIDINE HYDROCHLORIDE,Clonidine Hydrochloride,W76I6XXF06,chemical,approved,CLONIDINE HYDROCHLORIDE,exact_full,chemical,C9H9Cl2N3.ClH,c1cc(c(c(c1)Cl)NC2=NCCN2)Cl.Cl
CLOPIDOGREL BISULFATE,Clopidogrel Bisulfate,08I79HTP27,chemical,approved,CLOPIDOGREL BISULFATE,exact_full,chemical,C16H16ClNO2S.H2O4S,COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2.OS(=O)(=O)O
CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,63FN7G03XY,chemical,approved,CLORAZEPATE DIPOTASSIUM,exact_full,chemical,C16H10ClN2O3.2K.HO,c1ccc(cc1)C2=NC(C(=O)Nc3ccc(cc32)Cl)C(=O)[O-].[K+].[K+].[OH-]
CLOTRIMAZOLE,Clotrimazole,G07GZ97H65,chemical,approved,CLOTRIMAZOLE,exact_full,chemical,C22H17ClN2,c1ccc(cc1)C(c2ccccc2)(c3ccccc3Cl)n4ccnc4
CLOZAPINE,Clozapine,J60AR2IKIC,chemical,approved,CLOZAPINE,exact_full,chemical,C18H19ClN4,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4ccccc42)Cl
COBICISTAT; DARUNAVIR ETHANOLATE,COBICISTAT | DARUNAVIR ETHANOLATE,LW2E03M5PG | 33O78XF0BW,chemical,approved | approved,COBICISTAT; DARUNAVIR ETHANOLATE,"combination(exact_full,exact_full)",chemical,,
