Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
IPRATROPIUM BROMIDE,Ipratropium bromide,J697UZ2A9J,chemical,approved,IPRATROPIUM BROMIDE,exact_full,chemical,C20H30NO3.Br.H2O,CC(C)[N@+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c3ccccc3.[Br-].O
IPTACOPAN HYDROCHLORIDE,IPTACOPAN HYDROCHLORIDE,XW5CK7C6YH,chemical,approved,IPTACOPAN HYDROCHLORIDE,exact_full,chemical,C25H30N2O4.ClH.H2O,CCO[C@H]1CCN(Cc2c3cc[nH]c3c(C)cc2OC)[C@@H](C1)c4ccc(cc4)C(=O)O.Cl.O
IRBESARTAN,Irbesartan,J0E2756Z7N,chemical,approved,IRBESARTAN,exact_full,chemical,C25H28N6O,CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)-c4ccccc4-c5[nH]nnn5
IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,042LAQ1IIS,chemical,approved,IRINOTECAN HYDROCHLORIDE,exact_full,chemical,C33H38N4O6.ClH.3H2O,CCc1c2cc(ccc2nc-3c1Cn4c3cc5c(COC(=O)[C@@]5(CC)O)c4=O)OC(=O)N6CCC(CC6)N7CCCCC7.Cl.O.O.O
IRON DEXTRAN,Iron dextran,95HR524N2M,polymer,approved,IRON DEXTRAN,exact_full,polymer,,
IRON SUCROSE,IRON SUCROSE,FZ7NYF5N8L,polymer,approved,IRON SUCROSE,exact_full,polymer,,
ISAVUCONAZONIUM SULFATE,Isavuconazonium sulfate,31Q44514JV,chemical,approved,ISAVUCONAZONIUM SULFATE,exact_full,chemical,C35H35F2N8O5S.HO4S,C[C@@H](c1nc(cs1)-c2ccc(cc2)C#N)[C@](Cn3c[n+](cn3)C(C)OC(=O)N(C)c4c(cccn4)COC(=O)CNC)(c5cc(ccc5F)F)O.OS(=O)(=O)[O-]
ISOCARBOXAZID,ISOCARBOXAZID,34237V843T,chemical,approved,ISOCARBOXAZID,exact_full,chemical,C12H13N3O2,Cc1cc(C(=O)NNCc2ccccc2)no1
ISOFLURANE,Isoflurane,CYS9AKD70P,chemical,approved,ISOFLURANE,exact_full,chemical,C3H2ClF5O,C(C(F)(F)F)(Cl)OC(F)F
ISONIAZID,Isoniazid,V83O1VOZ8L,chemical,approved,ISONIAZID,exact_full,chemical,C6H7N3O,c1cnccc1C(=O)NN
ISOPROPYL ALCOHOL,Isopropyl alcohol,ND2M416302,chemical,approved,ISOPROPYL ALCOHOL,exact_full,chemical,C3H8O,CC(C)O
ISOPROTERENOL HYDROCHLORIDE,Isoproterenol hydrochloride,DIA2A74855,chemical,approved,ISOPROTERENOL HYDROCHLORIDE,exact_full,chemical,C11H17NO3.ClH,CC(C)NCC(c1ccc(c(c1)O)O)O.Cl
ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,IA7306519N,chemical,approved,ISOSORBIDE DINITRATE,exact_full,chemical,C6H8N2O8,C1[C@H]([C@]2([H])[C@@]([H])([C@H](CO2)O[N+](=O)[O-])O1)O[N+](=O)[O-]
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,LX1OH63030,chemical,approved,ISOSORBIDE MONONITRATE,exact_full,chemical,C6H9NO6,C1[C@@H]([C@]2([H])[C@@]([H])([C@@H](CO2)O[N+](=O)[O-])O1)O
ISOSULFAN BLUE,Isosulfan blue,39N9K8S2A4,chemical,approved,ISOSULFAN BLUE,exact_full,chemical,C27H31N2O6S2.Na,CC[N+](=C1C=C/C(=C(/c2ccc(cc2)N(CC)CC)\c3cc(ccc3S(=O)(=O)[O-])S(=O)(=O)[O-])/C=C1)CC.[Na+]
ISOTRETINOIN,Isotretinoin,EH28UP18IF,chemical,approved,ISOTRETINOIN,exact_full,chemical,C20H28O2,C/C(=C\C=C\C(=C/C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C
ISRADIPINE,Isradipine,YO1UK1S598,chemical,approved,ISRADIPINE,exact_full,chemical,C19H21N3O5,CC(C)OC(=O)C1=C(C)NC(=C(C1c2cccc3c2non3)C(=O)OC)C
ISTRADEFYLLINE,ISTRADEFYLLINE,2GZ0LIK7T4,chemical,approved,ISTRADEFYLLINE,exact_full,chemical,C20H24N4O4,CCn1c2c(c(=O)n(CC)c1=O)n(C)c(/C=C/c3ccc(c(c3)OC)OC)n2
ITRACONAZOLE,ITRACONAZOLE,304NUG5GF4,chemical,approved,ITRACONAZOLE,exact_full,chemical,C35H38Cl2N8O4,CCC(C)n1c(=O)n(cn1)-c2ccc(cc2)N3CCN(CC3)c4ccc(cc4)OC[C@H]5CO[C@](Cn6cncn6)(c7ccc(cc7Cl)Cl)O5
IVABRADINE HYDROCHLORIDE,IVABRADINE HYDROCHLORIDE,TP19837BZK,chemical,approved,IVABRADINE HYDROCHLORIDE,exact_full,chemical,C27H36N2O5.ClH,CN(CCCN1CCc2cc(c(cc2CC1=O)OC)OC)C[C@H]3Cc4cc(c(cc43)OC)OC.Cl
IVACAFTOR,Ivacaftor,1Y740ILL1Z,chemical,approved,IVACAFTOR,exact_full,chemical,C24H28N2O3,CC(C)(C)c1cc(c(cc1NC(=O)c2c[nH]c3ccccc3c2=O)O)C(C)(C)C
"IVACAFTOR; IVACAFTOR, TEZACAFTOR",Ivacaftor | TEZACAFTOR,1Y740ILL1Z | 8RW88Y506K,chemical,approved | approved,"IVACAFTOR; IVACAFTOR, TEZACAFTOR","combination(exact_full,exact_full)",chemical,,
IVACAFTOR; LUMACAFTOR,Ivacaftor | LUMACAFTOR,1Y740ILL1Z | EGP8L81APK,chemical,approved | approved,IVACAFTOR; LUMACAFTOR,"combination(exact_full,exact_full)",chemical,,
IVERMECTIN,Ivermectin,8883YP2R6D,mixture,approved,IVERMECTIN,exact_full,mixture,,
IVOSIDENIB,IVOSIDENIB,Q2PCN8MAM6,chemical,approved,IVOSIDENIB,exact_full,chemical,C28H22ClF3N6O3,c1ccc(c(c1)[C@@H](C(=O)NC2CC(C2)(F)F)N(c3cc(cnc3)F)C(=O)[C@@H]4CCC(=O)N4c5cc(ccn5)C#N)Cl
IXABEPILONE,IXABEPILONE,K27005NP0A,chemical,approved,IXABEPILONE,exact_full,chemical,C27H42N2O5S,C[C@H]1CCC[C@]2(C)[C@]([H])(C[C@@H](/C(=C/c3csc(C)n3)/C)NC(=O)C[C@@H](C(C)(C)C(=O)[C@H](C)[C@H]1O)O)O2
IXAZOMIB CITRATE,Ixazomib citrate,46CWK97Z3K,chemical,approved,IXAZOMIB CITRATE,exact_full,chemical,C20H23BCl2N2O9,CC(C)C[C@@H](B1OC(=O)C(CC(=O)O)(CC(=O)O)O1)NC(=O)CNC(=O)c2cc(ccc2Cl)Cl
KETAMINE HYDROCHLORIDE,Ketamine Hydrochloride,O18YUO0I83,chemical,approved,KETAMINE HYDROCHLORIDE,exact_full,chemical,C13H16ClNO.ClH,CNC1(CCCCC1=O)c2ccccc2Cl.Cl
KETOCONAZOLE,Ketoconazole,R9400W927I,chemical,approved,KETOCONAZOLE,exact_full,chemical,C26H28Cl2N4O4,CC(=O)N1CCN(CC1)c2ccc(cc2)OC[C@@H]3CO[C@@](Cn4ccnc4)(c5ccc(cc5Cl)Cl)O3
KETOPROFEN,Ketoprofen,90Y4QC304K,chemical,approved,KETOPROFEN,exact_full,chemical,C16H14O3,CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)O
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,4EVE5946BQ,chemical,approved,KETOROLAC TROMETHAMINE,exact_full,chemical,C15H13NO3.C4H11NO3,c1ccc(cc1)C(=O)c2ccc3C(CCn32)C(=O)O.C(C(CO)(CO)N)O
KETOROLAC TROMETHAMINE; PHENYLEPHRINE HYDROCHLORIDE,KETOROLAC TROMETHAMINE | PHENYLEPHRINE HYDROCHLORIDE,4EVE5946BQ | 04JA59TNSJ,chemical,approved | approved,KETOROLAC TROMETHAMINE; PHENYLEPHRINE HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
KETOTIFEN FUMARATE,Ketotifen Fumarate,HBD503WORO,chemical,approved,KETOTIFEN FUMARATE,exact_full,chemical,C19H19NOS.C4H4O4,CN1CCC(=C2c3ccccc3CC(=O)c4c2ccs4)CC1.C(=C\C(=O)O)/C(=O)O
L-GLUTAMINE,Glutamine,0RH81L854J,chemical,approved,L-GLUTAMINE,exact_full,chemical,C5H10N2O3,C(CC(=O)N)[C@@H](C(=O)O)N
LABETALOL HYDROCHLORIDE,Labetalol Hydrochloride,1GEV3BAW9J,chemical,approved,LABETALOL HYDROCHLORIDE,exact_full,chemical,C19H24N2O3.ClH,CC(CCc1ccccc1)NCC(c2ccc(c(c2)C(=O)N)O)O.Cl
LACOSAMIDE,Lacosamide,563KS2PQY5,chemical,approved,LACOSAMIDE,exact_full,chemical,C13H18N2O3,CC(=O)N[C@H](COC)C(=O)NCc1ccccc1
LACTULOSE,Lactulose,9U7D5QH5AE,chemical,approved,LACTULOSE,exact_full,chemical,C12H22O11,C(C(=O)[C@H]([C@@]([H])([C@@H](CO)O)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)O)O
LAMIVUDINE,Lamivudine,2T8Q726O95,chemical,approved,LAMIVUDINE,exact_full,chemical,C8H11N3O3S,c1cn([C@@H]2CS[C@H](CO)O2)c(=O)nc1N
LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,Lamivudine | TENOFOVIR DISOPROXIL FUMARATE,2T8Q726O95 | OTT9J7900I,chemical,approved | approved,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,"combination(exact_full,exact_full)",chemical,,
LAMIVUDINE; ZIDOVUDINE,Lamivudine | ZIDOVUDINE,2T8Q726O95 | 4B9XT59T7S,chemical,approved | approved,LAMIVUDINE; ZIDOVUDINE,"combination(exact_full,exact_full)",chemical,,
LAMOTRIGINE,Lamotrigine,U3H27498KS,chemical,approved,LAMOTRIGINE,exact_full,chemical,C9H7Cl2N5,c1cc(c(c(c1)Cl)Cl)-c2c(N)nc(N)nn2
LANDIOLOL HYDROCHLORIDE,Landiolol Hydrochloride,G8HQ634Y17,chemical,approved,LANDIOLOL HYDROCHLORIDE,exact_full,chemical,C25H39N3O8.ClH,CC1(C)OC[C@@H](COC(=O)CCc2ccc(cc2)OC[C@H](CNCCNC(=O)N3CCOCC3)O)O1.Cl
LANREOTIDE ACETATE,LANREOTIDE ACETATE,IEU56G3J9C,protein,approved,LANREOTIDE ACETATE,exact_full,protein,,
LANSOPRAZOLE,Lansoprazole,0K5C5T2QPG,chemical,approved,LANSOPRAZOLE,exact_full,chemical,C16H14F3N3O2S,Cc1c(C[S+](c2[nH]c3ccccc3n2)[O-])nccc1OCC(F)(F)F
LANTHANUM CARBONATE,LANTHANUM CARBONATE,490D9F069T,chemical,approved,LANTHANUM CARBONATE,exact_full,chemical,3CO3.2La.4H2O,C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3].O.O.O.O
LAPATINIB DITOSYLATE,Lapatinib ditosylate,G873GX646R,chemical,approved,LAPATINIB DITOSYLATE,exact_full,chemical,C29H26ClFN4O4S.2C7H8O3S.H2O,CS(=O)(=O)CCNCc1ccc(-c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F)o1.Cc1ccc(cc1)S(=O)(=O)O.Cc1ccc(cc1)S(=O)(=O)O.O
LAROTRECTINIB SULFATE,LAROTRECTINIB SULFATE,RDF76R62ID,chemical,approved,LAROTRECTINIB SULFATE,exact_full,chemical,C21H22F2N6O2.H2O4S,C1C[C@H](c2cc(ccc2F)F)N(C1)c3ccn4c(c(cn4)NC(=O)N5CC[C@@H](C5)O)n3.OS(=O)(=O)O
LASMIDITAN SUCCINATE,Lasmiditan succinate,W64YBJ346B,chemical,approved,LASMIDITAN SUCCINATE,exact_full,chemical,2C19H18F3N3O2.C4H6O4,CN1CCC(CC1)C(=O)c2cccc(n2)NC(=O)c3c(cc(cc3F)F)F.CN1CCC(CC1)C(=O)c2cccc(n2)NC(=O)c3c(cc(cc3F)F)F.C(CC(=O)O)C(=O)O
LATANOPROST,LATANOPROST,6Z5B6HVF6O,chemical,approved,LATANOPROST,exact_full,chemical,C26H40O5,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@H](CCc2ccccc2)O)[C@@H](C[C@@H]1O)O
LATANOPROST; NETARSUDIL DIMESYLATE,LATANOPROST | Netarsudil Mesylate,6Z5B6HVF6O | VL756B1K0U,chemical,approved | approved,LATANOPROST; NETARSUDIL DIMESYLATE,"combination(exact_full,exact_full)",chemical,,
LATANOPROSTENE BUNOD,Latanoprostene Bunod,I6393O0922,chemical,approved,LATANOPROSTENE BUNOD,exact_full,chemical,C27H41NO8,C(=C/C[C@@H]1[C@@H](CC[C@H](CCc2ccccc2)O)[C@@H](C[C@@H]1O)O)/CCCC(=O)OCCCCO[N+](=O)[O-]
LAZERTINIB MESYLATE,Lazertinib Mesylate,WUT449BEG5,chemical,approved,LAZERTINIB MESYLATE,exact_full,chemical,C30H34N8O3.CH4O3S.H2O,C=CC(=O)Nc1cc(c(cc1N2CCOCC2)OC)Nc3nccc(n3)-n4cc(CN(C)C)c(-c5ccccc5)n4.CS(=O)(=O)O.O
LEDIPASVIR; SOFOSBUVIR,LEDIPASVIR | SOFOSBUVIR,013TE6E4WV | WJ6CA3ZU8B,chemical,approved | approved,LEDIPASVIR; SOFOSBUVIR,"combination(exact_full,exact_full)",chemical,,
LEFAMULIN ACETATE,LEFAMULIN ACETATE,HDN0B924X4,chemical,approved,LEFAMULIN ACETATE,exact_full,chemical,C28H45NO5S.C2H4O2,C=C[C@]1(C)C[C@H]([C@]2(C)C(C)CC[C@]3(CCC(=O)[C@@]23[H])[C@@H](C)[C@@H]1O)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N.CC(=O)O
LEFLUNOMIDE,Leflunomide,G162GK9U4W,chemical,approved,LEFLUNOMIDE,exact_full,chemical,C12H9F3N2O2,Cc1c(cno1)C(=O)Nc2ccc(cc2)C(F)(F)F
LEMBOREXANT,LEMBOREXANT,0K5743G68X,chemical,approved,LEMBOREXANT,exact_full,chemical,C22H20F2N4O2,Cc1c(cnc(C)n1)OC[C@]2(C[C@H]2C(=O)Nc3ccc(cn3)F)c4cccc(c4)F
LENACAPAVIR SODIUM,LENACAPAVIR SODIUM,BDT58WJ9WE,chemical,approved,LENACAPAVIR SODIUM,exact_full,chemical,C39H31ClF10N7O5S2.Na,CC(C)(C#Cc1ccc(-c2ccc(c3c2n(CC(F)(F)F)nc3[N-]S(=O)(=O)C)Cl)c([C@H](Cc4cc(cc(c4)F)F)NC(=O)Cn5c6c([C@@]7([H])C[C@@]7([H])C6(F)F)c(C(F)(F)F)n5)n1)S(=O)(=O)C.[Na+]
LENALIDOMIDE,LENALIDOMIDE,F0P408N6V4,chemical,approved,LENALIDOMIDE,exact_full,chemical,C13H13N3O3,c1cc2c(CN(C3CCC(=O)NC3=O)C2=O)c(c1)N
LENIOLISIB PHOSPHATE,LENIOLISIB PHOSPHATE,3700M1H39Q,chemical,approved,LENIOLISIB PHOSPHATE,exact_full,chemical,C21H25F3N6O2.H3O4P,CCC(=O)N1CC[C@@H](C1)Nc2c3CN(CCc3ncn2)c4cc(c(nc4)OC)C(F)(F)F.OP(=O)(O)O
LENVATINIB MESYLATE,LENVATINIB MESYLATE,3J78384F61,chemical,approved,LENVATINIB MESYLATE,exact_full,chemical,C21H19ClN4O4.CH4O3S,COc1cc2c(cc1C(=O)N)c(ccn2)Oc3ccc(c(c3)Cl)NC(=O)NC4CC4.CS(=O)(=O)O
LETERMOVIR,Letermovir,1H09Y5WO1F,chemical,approved,LETERMOVIR,exact_full,chemical,C29H28F4N4O4,COc1cccc(c1)N2CCN(CC2)C3=Nc4c(cccc4F)[C@H](CC(=O)O)N3c5cc(ccc5OC)C(F)(F)F
LETROZOLE,Letrozole,7LKK855W8I,chemical,approved,LETROZOLE,exact_full,chemical,C17H11N5,c1cc(ccc1C#N)C(c2ccc(cc2)C#N)n3cncn3
LETROZOLE; RIBOCICLIB SUCCINATE,Letrozole | Ribociclib succinate,7LKK855W8I | BG7HLX2919,chemical,approved | approved,LETROZOLE; RIBOCICLIB SUCCINATE,"combination(exact_full,exact_full)",chemical,,
LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,RPR1R4C0P4,chemical,approved,LEUCOVORIN CALCIUM,exact_full,chemical,C20H21N7O7.Ca,c1cc(ccc1C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])NCC2CNc3c(c(=O)nc(N)[nH]3)N2C=O.[Ca+2]
LEUPROLIDE ACETATE,Leuprolide Acetate,37JNS02E7V,chemical,approved,LEUPROLIDE ACETATE,exact_full,chemical,C59H84N16O12.C2H4O2,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6.CC(=O)O
LEUPROLIDE MESYLATE,Leuprolide mesylate,8E3C3C493W,chemical,approved,LEUPROLIDE MESYLATE,exact_full,chemical,2C59H84N16O12.3CH4O3S,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6.CS(=O)(=O)O.CS(=O)(=O)O.CS(=O)(=O)O
LEVACETYLLEUCINE,Levacetylleucine,E915HL7K2O,chemical,approved,LEVACETYLLEUCINE,exact_full,chemical,C8H15NO3,CC(C)C[C@@H](C(=O)O)NC(=O)C
LEVALBUTEROL HYDROCHLORIDE,Levalbuterol Hydrochloride,WDQ1526QJM,chemical,approved,LEVALBUTEROL HYDROCHLORIDE,exact_full,chemical,C13H21NO3.ClH,CC(C)(C)NC[C@@H](c1ccc(c(c1)CO)O)O.Cl
LEVALBUTEROL TARTRATE,Levalbuterol Tartrate,ADS4I3E22M,chemical,approved,LEVALBUTEROL TARTRATE,exact_full,chemical,2C13H21NO3.C4H6O6,CC(C)(C)NC[C@@H](c1ccc(c(c1)CO)O)O.CC(C)(C)NC[C@@H](c1ccc(c(c1)CO)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
LEVETIRACETAM,LEVETIRACETAM,44YRR34555,chemical,approved,LEVETIRACETAM,exact_full,chemical,C8H14N2O2,CC[C@@H](C(=O)N)N1CCCC1=O
LEVOBUNOLOL HYDROCHLORIDE,LEVOBUNOLOL HYDROCHLORIDE,O90S49LDHH,chemical,approved,LEVOBUNOLOL HYDROCHLORIDE,exact_full,chemical,C17H25NO3.ClH,CC(C)(C)NC[C@@H](COc1cccc2c1CCCC2=O)O.Cl
LEVOCARNITINE,LEVOCARNITINE,0G389FZZ9M,chemical,approved,LEVOCARNITINE,exact_full,chemical,C7H15NO3,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
LEVOCETIRIZINE DIHYDROCHLORIDE,Levocetirizine dihydrochloride,SOD6A38AGA,chemical,approved,LEVOCETIRIZINE DIHYDROCHLORIDE,exact_full,chemical,C21H25ClN2O3.2ClH,c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CCN(CC3)CCOCC(=O)O.Cl.Cl
LEVODOPA,Levodopa,46627O600J,chemical,approved,LEVODOPA,exact_full,chemical,C9H11NO4,c1cc(c(cc1C[C@@H](C(=O)O)N)O)O
LEVOFLOXACIN,Levofloxacin,6GNT3Y5LMF,chemical,approved,LEVOFLOXACIN,exact_full,chemical,2C18H20FN3O4.H2O,C[C@H]1COc2c3c(cc(c2N4CCN(C)CC4)F)c(=O)c(cn13)C(=O)O.C[C@H]1COc2c3c(cc(c2N4CCN(C)CC4)F)c(=O)c(cn13)C(=O)O.O
LEVOKETOCONAZOLE,Levoketoconazole,2DJ8R0NT7K,chemical,approved,LEVOKETOCONAZOLE,exact_full,chemical,C26H28Cl2N4O4,CC(=O)N1CCN(CC1)c2ccc(cc2)OC[C@@H]3CO[C@@](Cn4ccnc4)(c5ccc(cc5Cl)Cl)O3
LEVOLEUCOVORIN,LEVOLEUCOVORIN,990S25980Y,chemical,approved,LEVOLEUCOVORIN,exact_full,chemical,C20H23N7O7,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC[C@H]2CNc3c(c(=O)nc(N)[nH]3)N2C=O
LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM,778XL6VBS8,chemical,approved,LEVOLEUCOVORIN CALCIUM,exact_full,chemical,C20H21N7O7.Ca,c1cc(ccc1C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])NC[C@H]2CNc3c(c(=O)nc(N)[nH]3)N2C=O.[Ca+2]
LEVOMILNACIPRAN HYDROCHLORIDE,LEVOMILNACIPRAN HYDROCHLORIDE,371U2ZK31U,chemical,approved,LEVOMILNACIPRAN HYDROCHLORIDE,exact_full,chemical,C15H22N2O.ClH,CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2ccccc2.Cl
LEVONORGESTREL,LEVONORGESTREL,5W7SIA7YZW,chemical,approved,LEVONORGESTREL,exact_full,chemical,C21H28O2,CC[C@@]12CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]3([H])[C@]2([H])CC[C@]1(C#C)O
LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,04WQU6T9QI,chemical,approved,LEVORPHANOL TARTRATE,exact_full,chemical,C17H23NO.C4H6O6.2H2O,CN1CC[C@@]23CCCC[C@@]3([H])[C@H]1Cc4ccc(cc42)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O.O
LEVOTHYROXINE SODIUM,Levothyroxine Sodium,9J765S329G,chemical,approved,LEVOTHYROXINE SODIUM,exact_full,chemical,C15H10I4NO4.Na.5H2O,c1c(cc(c(c1I)Oc2cc(c(c(c2)I)O)I)I)C[C@@H](C(=O)[O-])N.[Na+].O.O.O.O.O
LIDOCAINE,Lidocaine,98PI200987,chemical,approved,LIDOCAINE,exact_full,chemical,C14H22N2O,CCN(CC)CC(=O)Nc1c(C)cccc1C
LIDOCAINE HYDROCHLORIDE,Lidocaine hydrochloride,V13007Z41A,chemical,approved,LIDOCAINE HYDROCHLORIDE,exact_full,chemical,C14H22N2O.ClH.H2O,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O
LIDOCAINE; PRILOCAINE,Lidocaine | Prilocaine,98PI200987 | 046O35D44R,chemical,approved | approved,LIDOCAINE; PRILOCAINE,"combination(exact_full,exact_full)",chemical,,
LIDOCAINE; TETRACAINE,Lidocaine | TETRACAINE,98PI200987 | 0619F35CGV,chemical,approved | approved,LIDOCAINE; TETRACAINE,"combination(exact_full,exact_full)",chemical,,
LIFITEGRAST,Lifitegrast,038E5L962W,chemical,approved,LIFITEGRAST,exact_full,chemical,C29H24Cl2N2O7S,CS(=O)(=O)c1cccc(c1)C[C@@H](C(=O)O)NC(=O)c2c(cc3CN(CCc3c2Cl)C(=O)c4ccc5ccoc5c4)Cl
LINACLOTIDE,LINACLOTIDE,N0TXR0XR5X,protein,approved,LINACLOTIDE,exact_full,protein,,
LINAGLIPTIN,Linagliptin,3X29ZEJ4R2,chemical,approved,LINAGLIPTIN,exact_full,chemical,C25H28N8O2,CC#CCn1c2c(nc1N3CCC[C@H](C3)N)n(C)c(=O)n(Cc4nc(C)c5ccccc5n4)c2=O
LINAGLIPTIN; METFORMIN HYDROCHLORIDE,Linagliptin | Metformin hydrochloride,3X29ZEJ4R2 | 786Z46389E,chemical,approved | approved,LINAGLIPTIN; METFORMIN HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
LINCOMYCIN HYDROCHLORIDE,Lincomycin hydrochloride,M6T05Z2B68,chemical,approved,LINCOMYCIN HYDROCHLORIDE,exact_full,chemical,C18H34N2O6S.ClH.H2O,CCC[C@@H]1C[C@@H](C(=O)N[C@]([H])([C@@H](C)O)[C@]2([H])[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)N(C)C1.Cl.O
LINERIXIBAT,Linerixibat,386012Z45S,chemical,approved,LINERIXIBAT,exact_full,chemical,C28H38N2O7S,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(cc2[C@@H](c3ccccc3)N1)OC
LINEZOLID,Linezolid,ISQ9I6J12J,chemical,approved,LINEZOLID,exact_full,chemical,C16H20FN3O4,CC(=O)NC[C@H]1CN(c2ccc(c(c2)F)N3CCOCC3)C(=O)O1
LIOTHYRONINE SODIUM,Liothyronine sodium,GCA9VV7D2N,chemical,approved,LIOTHYRONINE SODIUM,exact_full,chemical,C15H11I3NO4.Na,c1cc(c(cc1Oc2c(cc(cc2I)C[C@@H](C(=O)[O-])N)I)I)O.[Na+]
LIRAGLUTIDE,LIRAGLUTIDE,839I73S42A,protein,approved,LIRAGLUTIDE,exact_full,protein,,
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,SJT761GEGS,chemical,approved,LISDEXAMFETAMINE DIMESYLATE,exact_full,chemical,C15H25N3O.2CH4O3S,C[C@@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)N.CS(=O)(=O)O.CS(=O)(=O)O
LISINOPRIL,Lisinopril,E7199S1YWR,chemical,approved,LISINOPRIL,exact_full,chemical,C21H31N3O5.2H2O,c1ccc(cc1)CC[C@@H](C(=O)O)N[C@@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)O.O.O
LITHIUM CARBONATE,LITHIUM CARBONATE,2BMD2GNA4V,chemical,approved,LITHIUM CARBONATE,exact_full,chemical,CO3.2Li,C(=O)([O-])[O-].[Li+].[Li+]
LITHIUM CITRATE,LITHIUM CITRATE,5Z6E9K79YV,chemical,approved,LITHIUM CITRATE,exact_full,chemical,C6H5O7.3Li.4H2O,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Li+].[Li+].[Li+].O.O.O.O
LOFEXIDINE HYDROCHLORIDE,LOFEXIDINE HYDROCHLORIDE,V47G1SDI1B,chemical,approved,LOFEXIDINE HYDROCHLORIDE,exact_full,chemical,C11H12Cl2N2O.ClH,CC(C1=NCCN1)Oc2c(cccc2Cl)Cl.Cl
LOMITAPIDE MESYLATE,LOMITAPIDE MESYLATE,X4S83CP54E,chemical,approved,LOMITAPIDE MESYLATE,exact_full,chemical,C39H37F6N3O2.CH4O3S,c1ccc(c(c1)-c2ccc(cc2)C(F)(F)F)C(=O)NC3CCN(CCCCC4(c5ccccc5-c6ccccc64)C(=O)NCC(F)(F)F)CC3.CS(=O)(=O)O
LOMUSTINE,LOMUSTINE,7BRF0Z81KG,chemical,approved,LOMUSTINE,exact_full,chemical,C9H16ClN3O2,C1CCC(CC1)NC(=O)N(CCCl)N=O
