Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
CARBIDOPA; LEVODOPA,CARBIDOPA AND LEVODOPA | CREXONT | DHIVY | DUOPA | RYTARY | SINEMET,Neurology,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | SUSPENSION;ENTERAL | TABLET, EXTENDED RELEASE;ORAL | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",1992-08-28,2025-01-14,5,18,40,40,2041-12-21,2041,No,NP,2027-08-07,ABBVIE INC | ACCORD HEALTHCARE INC | ACTAVIS ELIZABETH LLC | ALEMBIC PHARMACEUTICALS LTD | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | AVION PHARMACEUTICALS LLC | DR REDDYS LABORATORIES SA | IMPAX LABORATORIES INC | IMPAX LABORATORIES LLC | MYLAN PHARMACEUTICALS INC | ORGANON LLC A SUB OF ORGANON AND CO | PHARMOBEDIENT CONSULTING LLC | RISING PHARMA HOLDING INC | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,Neurology,CHRONIC,"SYRUP;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1988-11-14,2026-03-10,0,22,40,0,,,No,,,ABHAI LLC | ACCORD HEALTHCARE INC | AIPING PHARMACEUTICAL INC | AJANTA PHARMA LTD | AMNEAL PHARMACEUTICALS | AVET LIFESCIENCES LTD | BIONPHARMA INC | CHARTWELL RX SCIENCES LLC | LANNETT CO INC | LEADING PHARMA LLC | NOVAST LABORATORIES LTD | NOVITIUM PHARMA LLC | OSMOTICA PHARMACEUTICAL US LLC | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | STRIDES PHARMA GLOBAL PTE LTD | STRIDES PHARMA INTERNATIONAL AG | TEVA PHARMACEUTICALS USA INC | TP ANDA HOLDINGS LLC | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC
SOLIFENACIN SUCCINATE,SOLIFENACIN SUCCINATE,Neurology,CHRONIC,TABLET;ORAL,2014-04-02,2024-10-02,0,18,36,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | BOSTAL LLC | CHARTWELL RX SCIENCES LLC | GLENMARK SPECIALTY SA | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | QILU PHARMACEUTICAL CO LTD | RISING PHARMA HOLDINGS INC | SCIEGEN PHARMACEUTICALS INC | SUNSHINE LAKE PHARMA CO LTD | TEVA PHARMACEUTICALS USA | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC
BRIVARACETAM,BRIVARACETAM | BRIVIACT,Neurology,CHRONIC,SOLUTION;INTRAVENOUS | SOLUTION;ORAL | TABLET;ORAL,2016-05-12,2026-02-23,3,14,35,2,2030-04-09,2030,No,,,ALKEM LABORATORIES LTD | APOTEX INC | AUROBINDO PHARMA LTD | CENTAUR PHARMACEUTICALS PRIVATE LTD | HAINAN POLY PHARM CO LTD | LUPIN INC | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | REGCON HOLDINGS LLC | SUNSHINE LAKE PHARMA CO LTD | UCB INC | ZHEJIANG POLY PHARM CO LTD | ZYDUS PHARMACEUTICALS USA INC
ACETAZOLAMIDE,ACETAZOLAMIDE,Neurology,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET;ORAL",1997-05-28,2025-05-30,0,21,33,0,,,No,,,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CADILA HEALTHCARE LTD | CHARTWELL MOLECULAR HOLDINGS LLC | EPIC PHARMA LLC | HERITAGE PHARMA LABS INC | HIBROW HEALTHCARE PRIVATE LTD | INDICUS PHARMA LLC | MANKIND PHARMA LTD | MICRO LABS LTD INDIA | MPP PHARMA LLC | NE RX PHARMA LLC | NOVAST LABORATORIES LTD | NOVITIUM PHARMA LLC | RUBICON RESEARCH LTD | SOMERSET THERAPEUTICS LLC | STRIDES PHARMA GLOBAL PTE LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | ZYDUS LIFESCIENCES GLOBAL FZE
DROXIDOPA,DROXIDOPA | NORTHERA,Neurology,CHRONIC,CAPSULE;ORAL,2014-02-18,2021-11-01,1,11,33,0,,,No,,,ADAPTIS PHARMA PRIVATE LTD | ALKEM LABORATORIES LTD | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | BIONPHARMA INC | JUBILANT CADISTA PHARMACEUTICALS INC | LUNDBECK NA LTD | MSN PHARMACEUTICALS INC | SCIEGEN PHARMACEUTICALS INC | SOMERSET THERAPEUTICS LLC | SUN PHARMACEUTICAL INDUSTRIES LTD | ZYDUS PHARMACEUTICALS USA INC
ESLICARBAZEPINE ACETATE,APTIOM | ESLICARBAZEPINE ACETATE,Neurology,CHRONIC,TABLET;ORAL,2013-11-08,2025-11-03,1,8,32,7,2032-08-24,2032,No,,,ALKEM LABORATORIES LTD | APOTEX INC | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT V | JUBILANT GENERICS LTD | LUPIN LTD | SPH ZHONGXI PHARMACEUTICAL CO LTD | SUMITOMO PHARMA AMERICA INC | TORRENT PHARMACEUTICALS LTD
RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,Neurology,CHRONIC,CAPSULE;ORAL,2007-10-31,2017-09-28,0,8,32,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES INC | MACLEODS PHARMACEUTICALS LTD | ORBION PHARMACEUTICALS PRIVATE LTD | WATSON LABORATORIES INC
GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,Neurology,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | SOLUTION;ORAL | TABLET;ORAL",2008-08-28,2016-08-05,0,11,31,0,,,No,,,AUROBINDO PHARMA LIMITED | AUROBINDO PHARMA LTD | BARR LABORATORIES INC | HIKMA PHARMACEUTICALS USA INC | SANDOZ INC | SENORES PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | WATSON LABORATORIES INC | YABAO PHARMACEUTICAL CO LTD BEIJING | ZYDUS PHARMACEUTICALS USA INC
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,Neurology,CHRONIC,INJECTABLE;INJECTION | TABLET;ORAL,1988-08-10,2025-02-11,0,16,28,0,,,No,,,AIPING PHARMACEUTICAL INC | CHARTWELL RX SCIENCES LLC | EPIC PHARMA LLC | FRESENIUS KABI USA LLC | HIKMA FARMACEUTICA (PORTUGAL) SA | HIKMA FARMACEUTICA PORTUGAL SA | LEADING PHARMA LLC | NAVINTA LLC | NUVO PHARMACEUTICAL INC | PH HEALTH LTD | PLIVA INC | QUAGEN PHARMACEUTICALS LLC
