Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
TRETINOIN,ALTRENO | ATRALIN | AVITA | RENOVA | RETIN-A | RETIN-A MICRO | RETIN-A-MICRO | TRETINOIN | TRETINOIN MICROSPHERE,Dermatology,CHRONIC,CAPSULE;ORAL | CREAM;TOPICAL | GEL;TOPICAL | LOTION;TOPICAL,1988-09-16,2026-05-14,10,23,24,2,2038-08-22,2038,No,,,ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | BAUSCH HEALTH US LLC | DOW PHARMACEUTICAL SCIENCES | ENCUBE ETHICALS PRIVATE LTD | GLENMARK PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | PADAGIS US LLC | PH HEALTH LTD | SUN PHARMA CANADA INC | VALEANT INTERNATIONAL BARBADOS SRL | VALEANT INTERNATIONAL BERMUDA | VALEANT PHARMACEUTICALS NORTH AMERICA LLC | ZYDUS LIFESCIENCES LTD
ACITRETIN,ACITRETIN,Dermatology,CHRONIC,CAPSULE;ORAL,2013-04-04,2024-08-05,0,6,17,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | BARR LABORATORIES INC | IMPAX LABORATORIES INC | MYLAN PHARMACEUTICALS INC | SIGMAPHARM LABORATORIES LLC | TEVA PHARMACEUTICALS USA
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,ACANYA | CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE | DUAC | ONEXTON,Dermatology,CHRONIC,GEL;TOPICAL,2002-08-26,2024-08-20,2,15,15,9,2029-08-05,2029,No,,,ACTAVIS LABORATORIES UT INC | BAUSCH HEALTH AMERICAS INC | ENCUBE ETHICALS PRIVATE LTD | GLENMARK SPECIALTY SA | MYLAN PHARMACEUTICALS INC | PADAGIS ISRAEL PHARMACEUTICALS LTD | STIEFEL LABORATORIES INC | SUN PHARMA CANADA INC | ZYDUS PHARMACEUTICALS USA INC
DESONIDE,DESONIDE | DESOWEN,Dermatology,CHRONIC,CREAM;TOPICAL | GEL;TOPICAL | LOTION;TOPICAL | OINTMENT;TOPICAL,1984-12-14,2022-12-08,2,12,12,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | CADILA HEALTHCARE LTD | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | ENCUBE ETHICALS PVT LTD | FOUGERA PHARMACEUTICALS INC | GALDERMA LABORATORIES LP | PADAGIS US LLC | SENORES PHARMACEUTICALS INC | SUN PHARMA CANADA INC | TARO PHARMACEUTICAL INDUSTRIES LTD
TAZAROTENE,ARAZLO | AVAGE | FABIOR | TAZAROTENE | TAZORAC,Dermatology,CHRONIC,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | GEL;TOPICAL | LOTION;TOPICAL",1997-06-13,2025-11-24,4,8,11,6,2038-05-11,2038,No,,,ALMIRALL LLC | BAUSCH HEALTH US LLC | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | MAYNE PHARMA LLC | PADAGIS ISRAEL PHARMACEUTICALS LTD | SOLARIS PHARMA CORP | SUN PHARMA CANADA INC
ADAPALENE,ADAPALENE | DIFFERIN,Dermatology,CHRONIC,CREAM;TOPICAL | GEL;TOPICAL | SOLUTION;TOPICAL,2000-05-26,2022-01-14,3,10,10,0,,,No,,,ACTAVIS MID ATLANTIC LLC | ALEMBIC PHARMACEUTICALS LTD | ENCUBE ETHICALS PVT LTD | FOUGERA PHARMACEUTICALS INC | GALDERMA LABORATORIES LP | GLENMARK PHARMACEUTICALS INC USA | P AND L DEVELOPMENT LLC | SUN PHARMA CANADA INC | WAYLIS THERAPEUTICS LLC
ADAPALENE; BENZOYL PEROXIDE,ADAPALENE AND BENZOYL PEROXIDE | DIFFERIN EPIDUO | EPIDUO | EPIDUO FORTE,Dermatology,CHRONIC,GEL;TOPICAL,2008-12-08,2026-05-22,3,9,9,3,2027-07-18,2027,No,,,ACTAVIS LABORATORIES UT INC INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | ALEMBIC PHARMACEUTICALS LTD | ENCUBE ETHICALS PRIVATE LTD | GALDERMA LABORATORIES INC | GALDERMA LABORATORIES LP | GLENMARK PHARMACEUTICALS LTD | PADAGIS ISRAEL PHARMACEUTICALS LTD | SUN PHARMA CANADA INC | ZYDUS PHARMACEUTICALS USA INC
BETAMETHASONE VALERATE,BETA-VAL | BETAMETHASONE VALERATE | DERMABET | VALNAC,Dermatology,CHRONIC,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | LOTION;TOPICAL | OINTMENT;TOPICAL",1983-03-24,2024-08-22,4,9,9,0,,,No,,,ACTAVIS MID ATLANTIC LLC | ALEMBIC PHARMACEUTICALS LTD | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | FOUGERA PHARMACEUTICALS INC | PADAGIS ISRAEL PHARMACEUTICALS LTD | SENORES PHARMACEUTICALS INC | SUN PHARMA CANADA INC | TARO PHARMACEUTICAL INDUSTRIES LTD | XIROMED PHARMA ESPANA SL
HALOBETASOL PROPIONATE,BRYHALI | HALOBETASOL PROPIONATE | ULTRAVATE,Dermatology,CHRONIC,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | LOTION;TOPICAL | OINTMENT;TOPICAL",2004-12-16,2023-08-11,2,7,7,7,2033-06-19,2033,No,,,BAUSCH HEALTH AMERICAS INC | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | FOUGERA PHARMACEUTICALS INC | LACER PHARMA LLC | PADAGIS ISRAEL PHARMACEUTICALS LTD | QUAGEN PHARMACEUTICALS LLC
BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,Dermatology,CHRONIC,CREAM;TOPICAL | LOTION;TOPICAL,2001-05-29,2005-06-16,0,5,5,0,,,No,,,ACTAVIS MID ATLANTIC LLC | FOUGERA PHARMACEUTICALS INC | SUN PHARMA CANADA INC | TARO PHARMACEUTICAL INDUSTRIES LTD
CALCIPOTRIENE,CALCIPOTRIENE | DOVONEX | SORILUX,Dermatology,CHRONIC,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | OINTMENT;TOPICAL | SOLUTION;TOPICAL",1993-12-29,2017-12-26,3,5,5,2,2028-05-07,2028,No,,,CHARTWELL RX SCIENCES LLC | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | FOUGERA PHARMACEUTICALS INC | GLENMARK PHARMACEUTICALS INC USA | GLENMARK SPECIALTY SA | LEO PHARMA AS | MAYNE PHARMA LLC
AMCINONIDE,AMCINONIDE,Dermatology,CHRONIC,CREAM;TOPICAL | LOTION;TOPICAL | OINTMENT;TOPICAL,2002-05-31,2003-05-15,0,4,4,0,,,No,,,GENUS LIFE SCIENCES INC | GENUS LIFESCIENCES INC | SOLUBIOMIX LLC | TARO PHARMACEUTICAL INDUSTRIES LTD
BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE | ENSTILAR | TACLONEX | WYNZORA,Dermatology,CHRONIC,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | OINTMENT;TOPICAL | SUSPENSION;TOPICAL",2006-01-09,2020-09-02,4,3,3,13,2039-03-18,2039,No,,,COSETTE PHARMACEUTICALS NC LABORATORIES LLC | LEO PHARMA AS | MC2 THERAPEUTICS LTD | PADAGIS ISRAEL PHARMACEUTICALS LTD | SUN PHARMA CANADA INC
HALCINONIDE,HALCINONIDE | HALOG,Dermatology,CHRONIC,CREAM;TOPICAL | SOLUTION;TOPICAL,2019-08-12,2024-05-29,2,3,3,0,,,No,,,CHARTWELL RX SCIENCES LLC | ENCUBE ETHICALS PRIVATE LTD | MYLAN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES INC
BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE | CELESTONE SOLUSPAN,Dermatology,CHRONIC,INJECTABLE;INJECTION,2009-07-31,2023-01-17,1,2,2,0,,,No,,,AMERICAN REGENT INC | HIKMA FARMACEUTICA PORTUGAL SA | ORGANON LLC A SUB OF ORGANON AND CO
FLURANDRENOLIDE,CORDRAN | FLURANDRENOLIDE,Dermatology,CHRONIC,LOTION;TOPICAL | OINTMENT;TOPICAL | TAPE;TOPICAL,2016-08-30,2016-12-30,1,2,2,0,,,No,,,ALMIRALL LLC | PADAGIS ISRAEL PHARMACEUTICALS LTD | TELIGENT PHARMA INC
PIMECROLIMUS,ELIDEL | PIMECROLIMUS,Dermatology,CHRONIC,CREAM;TOPICAL,2001-12-13,2019-08-29,1,2,2,0,,,No,,,ACTAVIS LABORATORIES UT INC INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | BAUSCH HEALTH US LLC | GLENMARK PHARMACEUTICALS LTD
BENZOYL PEROXIDE; ERYTHROMYCIN,BENZAMYCIN | ERYTHROMYCIN AND BENZOYL PEROXIDE,Dermatology,CHRONIC,GEL;TOPICAL,1984-10-26,2015-09-18,1,1,1,0,,,No,,,RISING PHARMA HOLDINGS INC | VALEANT INTERNATIONAL SRL
FLUOCINOLONE ACETONIDE; NEOMYCIN SULFATE,NEO-SYNALAR,Dermatology,CHRONIC,CREAM;TOPICAL,,,0,1,1,0,,,No,,,EUROFARMA INC
HALOBETASOL PROPIONATE; TAZAROTENE,DUOBRII | HALOBETASOL PROPIONATE AND TAZAROTENE,Dermatology,CHRONIC,LOTION;TOPICAL,2019-04-25,2025-05-02,1,1,1,10,2036-06-06,2036,No,,,BAUSCH HEALTH AMERICAS INC | SUN PHARMA CANADA INC
ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,CABTREO,Dermatology,CHRONIC,GEL;TOPICAL,2023-10-20,2023-10-20,1,0,0,9,2040-12-28,2040,No,NP,2026-10-20,BAUSCH HEALTH US LLC
ALITRETINOIN,PANRETIN,Dermatology,CHRONIC,GEL;TOPICAL,1999-02-02,1999-02-02,1,0,0,0,,,No,,,ADVANZ PHARMA (US) CORP
BENZOYL PEROXIDE,EPSOLAY,Dermatology,CHRONIC,CREAM;TOPICAL,2022-04-22,2022-04-22,1,0,0,14,2041-05-23,2041,No,,,MAYNE PHARMA LLC
BENZOYL PEROXIDE; TRETINOIN,TWYNEO,Dermatology,CHRONIC,CREAM;TOPICAL,2021-07-26,2021-07-26,1,0,0,13,2041-05-23,2041,No,,,MAYNE PHARMA LLC
CRISABOROLE,EUCRISA,Dermatology,CHRONIC,OINTMENT;TOPICAL,2016-12-14,2016-12-14,1,0,0,8,2030-07-20,2030,No,,,ANACOR PHARMACEUTICALS INC
DIFAMILAST,ADQUEY,Dermatology,CHRONIC,OINTMENT;TOPICAL,2026-02-12,2026-02-12,1,0,0,2,2036-12-31,2036,Yes,NCE,2031-02-12,ACROTECH BIOPHARMA INC
FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN,TRI-LUMA,Dermatology,CHRONIC,CREAM;TOPICAL,2002-01-18,2002-01-18,1,0,0,0,,,No,,,GALDERMA LABORATORIES LP
TAPINAROF,VTAMA,Dermatology,CHRONIC,CREAM;TOPICAL,2022-05-23,2022-05-23,1,0,0,12,2039-12-18,2039,Yes,I-956 | NCE,2027-12-12,ORGANON LLC
FAMOTIDINE,FAMOTIDINE | FAMOTIDINE PRESERVATIVE FREE | FAMOTIDINE PRESERVATIVE FREE IN PLASTIC CONTAINER | PEPCID AC,GI,CHRONIC,"FOR SUSPENSION;ORAL | INJECTABLE;INJECTION | SOLUTION;INTRAVENOUS | TABLET, CHEWABLE;ORAL | TABLET;ORAL",1995-04-28,2026-05-12,3,60,85,0,,,No,,,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | ANNORA PHARMA PRIVATE LTD | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | BAXTER HEALTHCARE CORP | CARLSBAD TECHNOLOGY INC | CARNEGIE PHARMACEUTICALS LLC | CHARTWELL RX SCIENCES LLC | CONTRACT PHARMACAL CORP | DR REDDYS LABORATORIES LTD | EPIC PHARMA LLC | FRESENIUS KABI USA LLC | GLENMARK PHARMACEUTICALS INC USA | GRAVITI PHARMACEUTICALS PRIVATE LTD | HIKMA PHARMACEUTICALS USA INC | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | KENVUE BRANDS LLC | L PERRIGO CO | LANNETT CO INC | LUPIN LTD | MANKIND PHARMA LTD | MARKSANS PHARMA LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | MYLAN LABORATORIES LTD | NAVINTA LLC | NOVEL LABORATORIES INC | NOVITIUM PHARMA LLC | P AND L DEVELOPMENT LLC | PERRIGO R AND D CO | REGCON HOLDINGS LLC | RISING PHARMA HOLDING INC | RISING PHARMA HOLDINGS INC | SAGENT PHARMACEUTICALS | SOMERSET THERAPEUTICS LLC | UNICHEM LABORATORIES LTD | VKT PHARMA PRIVATE LTD | ZYDUS PHARMACEUTICALS USA INC
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM | NEXIUM | NEXIUM 24HR,GI,CHRONIC,"CAPSULE, DELAYED REL PELLETS;ORAL | CAPSULE, DELAYED RELEASE;ORAL | FOR SUSPENSION, DELAYED RELEASE;ORAL | TABLET, DELAYED RELEASE;ORAL",2001-02-20,2025-04-15,5,37,61,0,,,No,,,ALKEM LABORATORIES LTD | ASTRAZENECA LP | ASTRAZENECA PHARMACEUTICALS LP | AUROBINDO PHARMA LTD | CIPLA LTD | CSPC OUYI PHARMACEUTICAL CO LTD | DR REDDYS LABORATORIES LTD | ETHYPHARM INC | GLENMARK SPECIALTY SA | GRANULES INDIA LTD | GRAVITI PHARMACEUTICALS PRIVATE LTD | GUANGZHOU NOVAKEN PHARM CO LTD | GUARDIAN DRUG CO | HETERO LABS LTD UNIT III | INDCHEMIE HEALTH SPECIALTIES PVT LTD | LANNETT CO INC | MARKSANS PHARMA LTD | MYLAN PHARMACEUTICALS INC | PERRIGO R AND D CO | PRINSTON PHARMACEUTICAL INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TORRENT PHARMACEUTICALS LTD | ZHEJIANG YONGTAI PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM | PANTOPRAZOLE SODIUM IN 0.9% SODIUM CHLORIDE | PROTONIX | PROTONIX IV,GI,CHRONIC,"FOR SUSPENSION, DELAYED RELEASE;ORAL | INJECTABLE;INTRAVENOUS | POWDER;INTRAVENOUS | SOLUTION;INTRAVENOUS | TABLET, DELAYED RELEASE;ORAL",2000-02-02,2026-04-22,5,31,43,2,2026-12-07,2026,No,NPP,2027-08-12,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS | ANNORA PHARMA PRIVATE LTD | APOTEX INC | ASPIRO PHARMA LTD | AUROBINDO PHARMA LTD | BAXTER HEALTHCARE CORP | BE PHARMACEUTICALS AG | CIPLA LTD | DEVA HOLDING AS | DEXCEL PHARMA TECHNOLOGIES LTD | DR REDDYS LABORATORIES LTD | EPIC PHARMA LLC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GRANULES INDIA LTD | GRAVITI PHARMACEUTICALS PRIVATE LTD | HAINAN SHUANGCHENG PHARMACEUTICALS CO LTD | HANGZHOU ZHONGMEI HUADONG PHARMACEUTICAL CO LTD | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS LLC | KNACK PHARMACEUTICALS INC | LANNETT CO INC | MANKIND PHARMA LTD | MEITHEAL PHARMACEUTICALS INC | MYLAN PHARMACEUTICALS INC | ORBION PHARMACEUTICALS PRIVATE LTD | RUBICON RESEARCH LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | TORRENT PHARMACEUTICALS LTD | WYETH PHARMACEUTICALS LLC
OMEPRAZOLE,OMEPRAZOLE,GI,CHRONIC,"CAPSULE, DELAYED REL PELLETS;ORAL | TABLET, DELAYED RELEASE;ORAL | TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE;ORAL",2002-11-01,2024-12-27,2,17,41,3,2036-12-08,2036,No,,,ACTAVIS LABORATORIES FL INC | APOTEX INC | AUROBINDO PHARMA LTD | BRECKENRIDGE PHARMACEUTICAL INC | DEXCEL PHARMA TECHNOLOGIES LTD | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT III | IMPAX LABORATORIES INC | LANNETT CO INC | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA | XIROMED PHARMA ESPANA SL | ZYDUS PHARMACEUTICALS USA INC
OCTREOTIDE ACETATE,BYNFEZIA PEN | MYCAPSSA | OCTREOTIDE ACETATE | OCTREOTIDE ACETATE (PRESERVATIVE FREE) | SANDOSTATIN | SANDOSTATIN LAR,GI,CHRONIC,"CAPSULE, DELAYED RELEASE;ORAL | INJECTABLE;INJECTION | SOLUTION;SUBCUTANEOUS",1988-10-21,2025-12-12,4,15,38,21,2041-12-29,2041,No,CGT | ODE-474,2027-06-26,CHIESI FARMACEUTICI SPA | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | MEITHEAL PHARMACEUTICALS INC | MYLAN INSTITUTIONAL LLC | MYLAN LABORATORIES LTD | NOVARTIS PHARMACEUTICALS CORP | SAGENT PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | WEST-WARD PHARMACEUTICALS INTERNATIONAL LTD
LANSOPRAZOLE,LANSOPRAZOLE | PREVACID | PREVACID 24 HR,GI,CHRONIC,"CAPSULE, DELAYED REL PELLETS;ORAL | TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE;ORAL",1995-05-10,2023-03-28,4,20,36,2,2036-04-21,2036,No,,,ALKEM LABORATORIES LTD | APOTEX INC | AUROBINDO PHARMA LTD | CHARTWELL MOLECULAR HOLDINGS LLC | DEXCEL PHARMA TECHNOLOGIES LTD | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS INC USA | HETERO LABS LTD UNIT III | INVENTIA HEALTHCARE LTD | MYLAN PHARMACEUTICALS INC | NATCO PHARMA LTD | PERRIGO PHARMA INTERNATIONAL DESIGNATED ACTIVITY CO | PERRIGO R AND D CO | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS USA | XIROMED PHARMA ESPANA SL | ZYDUS HEALTHCARE USA LLC | ZYDUS PHARMACEUTICALS USA INC
MESALAMINE,APRISO | CANASA | LIALDA | MESALAMINE | PENTASA | ROWASA | SFROWASA,GI,CHRONIC,"CAPSULE, DELAYED RELEASE;ORAL | CAPSULE, EXTENDED RELEASE;ORAL | ENEMA;RECTAL | SUPPOSITORY;RECTAL | TABLET, DELAYED RELEASE;ORAL",1987-12-24,2026-03-31,5,31,32,4,2030-05-01,2030,No,,,ABBVIE INC | ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | ACTAVIS MID ATLANTIC LLC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | AMRING PHARMACEUTICALS INC | AMTA LABS LTD | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | DIFGEN PHARMACEUTICALS LLC | ENCUBE ETHICALS PRIVATE LTD | KLM LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | MYLAN SPECIALTY LP | NOVAST LABORATORIES LTD | NOVITIUM PHARMA LLC | PADAGIS ISRAEL PHARMACEUTICALS LTD | QUAGEN PHARMACEUTICALS LLC | RISING PHARMA HOLDINGS INC | SALIX PHARMACEUTICALS INC | SANDOZ INC | SINOTHERAPEUTICS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA INC | ZYDUS PHARMACEUTICALS USA INC
PRUCALOPRIDE SUCCINATE,MOTEGRITY | PRUCALOPRIDE SUCCINATE,GI,CHRONIC,TABLET;ORAL,2018-12-14,2026-02-05,1,16,32,0,,,No,M-14,2028-07-10,AJANTA PHARMA LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | ANNORA PHARMA PRIVATE LTD | APOTEX INC | APPCO PHARMA LLC | H2-PHARMA LLC | HIKMA PHARMACEUTICALS USA INC | LUPIN LTD | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | SOMERSET THERAPEUTICS LLC | SPECGX LLC | TAKEDA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS INC | ZENARA PHARMA PRIVATE LTD | ZYDUS LIFESCIENCES LTD
DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE | DICYCLOMINE HYDROCHLORIDE (PRESERVATIVE FREE),GI,CHRONIC,CAPSULE;ORAL | INJECTABLE;INJECTION | SYRUP;ORAL | TABLET;ORAL,1986-06-19,2025-06-23,0,30,31,0,,,No,,,AMERICAN REGENT INC | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA USA INC | BIONPHARMA INC | COREPHARMA LLC | FOSUN PHARMA USA INC | FRESENIUS KABI USA LLC | HIKMA PHARMACEUTICALS | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | NOVITIUM PHARMA LLC | PH HEALTH LTD | PRINSTON PHARMACEUTICAL INC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SLATE RUN PHARMACEUTICALS LLC | SOMERSET THERAPEUTICS LLC | TWI PHARMACEUTICALS INC | WATSON LABORATORIES INC | WEST WARD PHARMACEUTICAL CORP
URSODIOL,ACTIGALL | URSODIOL,GI,CHRONIC,CAPSULE;ORAL | TABLET;ORAL,1987-12-31,2026-01-16,1,16,23,0,,,No,,,ABHAI LLC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | EPIC PHARMA LLC | GLENMARK PHARMACEUTICALS LTD | HIBROW HEALTHCARE PRIVATE LTD | LANNETT CO INC | LGM PHARMA SOLUTIONS LLC | PH HEALTH LTD | RISING PHARMACEUTICALS | RK PHARMA INC | STRIDES PHARMA GLOBAL PTE LTD | TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC | ZYDUS LIFESCIENCES GLOBAL FZE
OMEPRAZOLE; SODIUM BICARBONATE,KONVOMEP | OMEPRAZOLE AND SODIUM BICARBONATE | ZEGERID OTC,GI,CHRONIC,CAPSULE;ORAL | FOR SUSPENSION;ORAL,2009-12-01,2025-12-10,3,13,22,8,2040-03-01,2040,No,,,AJANTA PHARMA LTD | ANDA REPOSITORY LLC | AUROBINDO PHARMA LTD | AUROLIFE PHARMA LLC | AZURITY PHARMACEUTICALS INC | DR REDDYS LABORATORIES LTD | NOVITIUM PHARMA LLC | PERRIGO R AND D CO | RILEY CONSUMER CARE LLC DBA CARLIN CONSUMER HEALTH | SCIEGEN PHARMACEUTICALS INC | STRIDES PHARMA INTERNATIONAL AG | ZYDUS PHARMACEUTICALS USA INC | ZYDUS WORLDWIDE DMCC
CIMETIDINE,CIMETIDINE | TAGAMET HB,GI,CHRONIC,TABLET;ORAL,1994-05-17,2024-11-12,1,7,21,0,,,No,,,AUROBINDO PHARMA LTD | BIONPHARMA INC | CHARTWELL MOLECULES LLC | L PERRIGO CO | MEDTECH PRODUCTS INC | MYLAN PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA INC
BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE | DUVOID,GI,CHRONIC,TABLET;ORAL,2005-06-01,2010-05-04,0,10,19,0,,,No,,,AMNEAL PHARMACEUTICAL | CHARTWELL RX SCIENCES LLC | HERITAGE PHARMA LABS INC | UPSHER SMITH LABORATORIES LLC
AZACITIDINE,AZACITIDINE | ONUREG | VIDAZA,GI,CHRONIC,"POWDER;INTRAVENOUS, SUBCUTANEOUS | TABLET;ORAL",2004-05-19,2025-05-20,3,12,12,3,2030-06-03,2030,No,ODE-320 | ODE-399,2029-05-20,ACCORD HEALTHCARE INC | ACTAVIS LLC | BRISTOL MYERS SQUIBB CO | BRISTOL-MYERS SQUIBB CO | CIPLA LTD | DR REDDYS LABORATORIES LTD | EUGIA PHARMA SPECIALITIES LTD | EUROHEALTH INTERNATIONAL SARL | HETERO LABS LTD UNIT VI | JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD | MEITHEAL PHARMACEUTICALS INC | MSN LABORATORIES PRIVATE LTD | NATCO PHARMA LTD | RELIANCE LIFE SCIENCES PVT LTD | SHILPA MEDICARE LTD
RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,GI,CHRONIC,CAPSULE;ORAL | TABLET;ORAL,1997-08-29,2019-01-31,0,7,12,0,,,No,,,DR REDDYS LABORATORIES INC | DR REDDYS LABORATORIES LTD | SANDOZ INC | VKT PHARMA PRIVATE LTD
LUBIPROSTONE,AMITIZA | LUBIPROSTONE,GI,CHRONIC,CAPSULE;ORAL,2006-01-31,2025-01-02,1,5,10,3,2027-10-25,2027,No,,,AMNEAL PHARMACEUTICALS LLC | ASCENT PHARMACEUTICALS INC | DR REDDYS LABORATORIES LTD | SUCAMPO PHARMA AMERICAS LLC | TEVA PHARMACEUTICALS USA INC | ZYDUS PHARMACEUTICALS USA INC
DEXLANSOPRAZOLE,DEXILANT | DEXLANSOPRAZOLE,GI,CHRONIC,"CAPSULE, DELAYED RELEASE;ORAL",2009-01-30,2025-11-12,1,4,8,12,2032-03-05,2032,No,,,ALEMBIC PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | PH HEALTH LTD | TAKEDA PHARMACEUTICALS USA INC | TWI PHARMACEUTICALS INC
RABEPRAZOLE SODIUM,ACIPHEX | RABEPRAZOLE SODIUM,GI,CHRONIC,"TABLET, DELAYED RELEASE;ORAL",1999-08-19,2018-04-24,1,8,8,0,,,No,,,ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | AUROBINDO PHARMA USA INC | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES LTD | LANNETT CO INC | RUBICON RESEARCH LTD | TORRENT PHARMACEUTICALS LTD | WAYLIS THERAPEUTICS LLC
BREXPIPRAZOLE,BREXPIPRAZOLE | REXULTI,GI,CHRONIC,TABLET;ORAL,2015-07-10,2025-01-13,1,1,6,12,2033-04-12,2033,Yes,M-14 | M-315 | PED,2028-05-09,ALEMBIC PHARMACEUTICALS LTD | OTSUKA PHARMACEUTICAL CO LTD
ESOMEPRAZOLE MAGNESIUM; NAPROXEN,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,GI,CHRONIC,"TABLET, DELAYED RELEASE;ORAL",2020-02-18,2023-10-11,0,3,6,0,,,No,,,AJANTA PHARMA LTD | DR REDDYS LABORATORIES LTD | SCIEGEN PHARMACEUTICALS INC
