Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
AMPICILLIN SODIUM; SULBACTAM SODIUM,AMPICILLIN AND SULBACTAM | UNASYN,ACS DOBFAR SPA | ANTIBIOTICE SA | EUGIA PHARMA SPECIALITIES LTD | HIKMA PHARMACEUTICALS USA INC | HQ SPECIALTY PHARMA CORP | ISTITUTO BIOCHIMICO ITALIANO SPA | ONESOURCE SPECIALTY PTE LTD | PFIZER INC | SANDOZ INC,1,14,050608,065076 | 065176 | 065188 | 065222 | 065240 | 065241 | 065314 | 065403 | 065406 | 090339 | 090349 | 201024 | 201406 | 202197,INJECTABLE;INJECTION,AP,1986-12-31,2015-12-07,3,21,Infectious,SHORT,0,,,,,No
AMPICILLIN/AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,AUROBINDO PHARMA LTD | SANDOZ INC,0,2,,064082 | 216554,CAPSULE;ORAL,AB,1995-08-29,2023-10-31,0,3,Infectious,SHORT,0,,,,,No
ANAGRELIDE HYDROCHLORIDE,AGRYLIN | ANAGRELIDE HYDROCHLORIDE,CIPLA LTD | IMPAX LABORATORIES INC | NOVITIUM PHARMA LLC | TAKEDA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD,1,4,020333,076468 | 076811 | 076910 | 209151,CAPSULE;ORAL,AB,1997-03-14,2017-06-30,0,8,Other/Unclassified,OTHER,0,,,,,No
ANASTROZOLE,ANASTROZOLE | ARIMIDEX,ACCORD HEALTHCARE INC | ANI PHARMACEUTICALS INC | BEIJING YILING BIO-ENGINEERING TECHNOLOGY CO LTD | CIPLA LTD | EUGIA PHARMA SPECIALITIES LTD | KENTON CHEMICALS AND PHARMACEUTICALS CORP | NATCO PHARMA LTD | TEVA PHARMACEUTICALS USA | ZYDUS PHARMACEUTICALS USA INC,1,8,020541,078058 | 078921 | 078944 | 079220 | 090568 | 091164 | 206037 | 212434,TABLET;ORAL,AB,1995-12-27,2020-07-24,1,8,Oncology,LONG-TERM,0,,,,,No
ANGIOTENSIN II ACETATE,ANGIOTENSIN ll ACETATE | GIAPREZA,GLAND PHARMA LTD | LA JOLLA PHARMA LLC,1,1,209360,216966,SOLUTION;INTRAVENOUS,AP,2017-12-21,2025-06-03,2,1,Other/Unclassified,OTHER,11,2037-01-06,2037,,,No
ANIDULAFUNGIN,ERAXIS,VICURON HOLDINGS LLC,1,0,021632,,POWDER;INTRAVENOUS,,2006-02-17,2006-11-14,2,0,Infectious,SHORT,0,,,,,No
APALUTAMIDE,APALUTAMIDE | ERLEADA,JANSSEN BIOTECH INC | ZYDUS LIFESCIENCES GLOBAL FZE,1,1,210951,217113,TABLET;ORAL,AB,2018-02-14,2025-03-17,2,1,Oncology,LONG-TERM,14,2041-01-14,2041,,,No
APIXABAN,APIXABAN | ELIQUIS | ELIQUIS SPRINKLE,ACCORD HEALTHCARE INC | BRISTOL MYERS SQUIBB CO | BRISTOL MYERS SQUIBB CO PHARMACEUTICAL RESEARCH INSTITUTE | REGCON HOLDINGS LLC,2,2,202155 | 220073,209898 | 210180,"FOR SUSPENSION;ORAL | TABLET, FOR SUSPENSION;ORAL | TABLET;ORAL",AB,2012-12-28,2025-04-17,4,4,Cardiovascular,CHRONIC,6,2041-05-22,2041,NP | NPP | NS | PED,2028-10-17,Yes
APOMORPHINE HYDROCHLORIDE,APOKYN | APOMORPHINE HYDROCHLORIDE | ONAPGO,MDD US OPERATIONS LLC | MDD US OPERATIONS LLC A SUB OF SUPERNUS PHARMACEUTICALS INC | TP ANDA HOLDINGS LLC,2,1,021264 | 214056,212025,INJECTABLE;SUBCUTANEOUS | SOLUTION;SUBCUTANEOUS,AP,2004-04-20,2025-02-03,2,1,Pain,CHRONIC,0,,,NP,2028-02-03,No
APRACLONIDINE HYDROCHLORIDE,APRACLONIDINE HYDROCHLORIDE | IOPIDINE,HARROW EYE LLC | RISING PHARMA HOLDINGS INC,2,1,019779 | 020258,077764,SOLUTION/DROPS;OPHTHALMIC,AT,1987-12-31,2009-03-12,2,1,Cardiovascular,CHRONIC,0,,,,,No
APREMILAST,APREMILAST | OTEZLA | OTEZLA XR,ALKEM LABORATORIES LTD | AMGEN INC | ANNORA PHARMA PRIVATE LTD | MANKIND PHARMA LTD | MSN LABORATORIES PRIVATE LTD | SHILPA MEDICARE LTD,2,5,205437 | 210745,211734 | 211761 | 211774 | 211878 | 211887,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AB,2014-03-21,2025-08-29,4,15,Autoimmune,CHRONIC,11,2042-05-27,2042,M-299 | NPP | ODE* | ODE-248 | PED,2027-10-25,Yes
APREPITANT,APONVIE | APREPITANT | CINVANTI | EMEND,GLENMARK SPECIALTY SA | HERON THERAPEUTICS INC | MERCK SHARP AND DOHME CORP A SUB OF MERCK AND CO INC | MERCK SHARP AND DOHME LLC | SANDOZ INC | TORRENT PHARMA INC,4,3,021549 | 207865 | 209296 | 216457,090999 | 207777 | 211835,CAPSULE;ORAL | EMULSION;INTRAVENOUS | FOR SUSPENSION;ORAL,AB,2003-03-26,2022-09-16,5,9,Other/Unclassified,OTHER,15,2035-09-18,2035,,,No
APROCITENTAN,TRYVIO,IDORSIA PHARMACEUTICALS LTD,1,0,217686,,TABLET;ORAL,,2024-03-19,2024-03-19,1,0,Other/Unclassified,OTHER,6,2038-07-26,2038,NCE,2029-03-22,Yes
ARFORMOTEROL TARTRATE,ARFORMOTEROL TARTRATE,AIPING PHARMACEUTICAL INC | ALEMBIC PHARMACEUTICALS LTD | AUCTA PHARMACEUTICALS INC | CIPLA LTD | DR REDDYS LABORATORIES LTD | LEXENPHARM SUZHOU LTD | LUPIN INC | MANKIND PHARMA LTD | MICRO LABS LTD | NEOCUBES PHARMA LLP | SABA ILAC SANAYI VE TICARET AS | SLATE RUN PHARMACEUTICALS LLC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA | THE RITEDOSE CORP | WILSHIRE PHARMACEUTICALS INC,0,16,,200293 | 207306 | 213068 | 213762 | 214736 | 214779 | 214901 | 215032 | 215385 | 216128 | 216303 | 216815 | 218156 | 218380 | 218429 | 218555,SOLUTION;INHALATION,AN,2021-06-22,2025-04-25,0,16,Respiratory,CHRONIC,0,,,,,No
ARGATROBAN,ARGATROBAN | ARGATROBAN IN SODIUM CHLORIDE,ACCORD HEALTHCARE INC | AMNEAL PHARMACEUTICALS CO GMBH | CAPLIN STERILES LTD | EUGIA PHARMA SPECIALITIES LTD | GLAND PHARMA LTD | HIKMA PHARM CO LTD | HOSPIRA INC | MYLAN INSTITUTIONAL LLC | PH HEALTH LTD | PLANO PHARMACEUTICALS INC,4,7,022485 | 203049 | 209552 | 212035,091665 | 202626 | 204120 | 205570 | 206698 | 214235 | 217848,INJECTABLE;INJECTION | INJECTABLE;INTRAVENOUS | SOLUTION;INTRAVENOUS,AP,2011-05-09,2023-07-31,4,7,Other/Unclassified,OTHER,0,,,,,No
ARGININE HYDROCHLORIDE,R-GENE 10,PHARMACIA AND UPJOHN CO,1,0,016931,,INJECTABLE;INJECTION,,,,1,0,Other/Unclassified,OTHER,0,,,,,No
ARIMOCLOMOL CITRATE,MIPLYFFA,ZEVRA DENMARK AS,1,0,214927,,CAPSULE;ORAL,,2024-09-20,2024-09-20,4,0,Other/Unclassified,OTHER,4,2041-11-19,2041,NCE | ODE-496,2031-09-20,Yes
ARIPIPRAZOLE,ABILIFY | ABILIFY ASIMTUFII | ABILIFY MAINTENA KIT | ARIPIPRAZOLE | OPIPZA,ACCORD HEALTHCARE INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | APOTEX INC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | HETERO LABS LTD UNIT III | HETERO LABS LTD UNIT V | LANNETT CO INC | MACLEODS PHARMACEUTICALS LTD | ORBION PHARMACEUTICALS PRIVATE LTD | OTSUKA PHARMACEUTICAL CO LTD | PRINSTON PHARMACEUTICAL INC | QUAGEN PHARMACEUTICALS LLC | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC | SQUARE PHARMACEUTICALS LTD | SUNSHINE LAKE PHARMA CO LTD | TORRENT PHARMACEUTICALS LTD | UNICHEM LABORATORIES LTD | VISTAPHARM LLC | XIAMEN LP PHARMACUETICAL CO LTD,4,28,021436 | 202971 | 216655 | 217006,090165 | 201519 | 202101 | 202102 | 202547 | 202683 | 203025 | 203906 | 203908 | 204094 | 204111 | 204171 | 204838 | 205064 | 205363 | 206174 | 206251 | 206383 | 207105 | 207240 | 210479 | 212870 | 213037 | 215582 | 215595 | 216150 | 216208 | 216351,"FILM;ORAL | FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR | SOLUTION;ORAL | SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",AA | AB,2002-11-15,2026-02-18,15,102,Psychiatric,CHRONIC,14,2041-12-15,2041,,,No
ARIPIPRAZOLE LAUROXIL,ARISTADA | ARISTADA INITIO KIT,ALKERMES INC,2,0,207533 | 209830,,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",,2015-10-05,2018-06-29,5,0,Psychiatric,CHRONIC,20,2039-04-06,2039,,,No
ARMODAFINIL,ARMODAFINIL | NUVIGIL,AUROBINDO PHARMA LTD | COREPHARMA LLC | LUPIN LTD | MYLAN PHARMACEUTICALS INC | NATCO PHARMA LTD | NUVO PHARMACEUTICALS (IRELAND) DAC,1,5,021875,200043 | 200751 | 201514 | 202768 | 206069,TABLET;ORAL,AB,2007-06-15,2019-05-09,4,21,Psychiatric,CHRONIC,0,,,,,No
ARSENIC TRIOXIDE,ARSENIC TRIOXIDE | TRISENOX,AMNEAL EU LTD | AMRING PHARMACEUTICALS INC | CEPHALON INC | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | INGENUS PHARMACEUTICALS LLC | MSN LABORATORIES PRIVATE LTD | NEXUS PHARMACEUTICALS LLC | PENN LIFE SCIENCES LLC | SANDOZ INC | ZYDUS PHARMACEUTICALS USA INC,1,10,021248,206228 | 208231 | 209315 | 209780 | 209873 | 210739 | 210802 | 215059 | 215359 | 217413,INJECTABLE;INJECTION,AP,2017-10-13,2023-04-20,1,14,Oncology,LONG-TERM,0,,,,,No
ARTEMETHER; LUMEFANTRINE,COARTEM,NOVARTIS PHARMACEUTICALS CORP,1,0,022268,,TABLET;ORAL,,2009-04-07,2009-04-07,1,0,Infectious,SHORT,0,,,,,No
ARTESUNATE,ARTESUNATE,AMIVAS INC,1,0,213036,,POWDER;INTRAVENOUS,,2020-05-26,2020-05-26,1,0,Other/Unclassified,OTHER,2,2044-02-16,2044,ODE-290,2027-05-26,No
ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,ORABLOC | SEPTOCAINE,DEPROCO INC | PIERREL S.P.A.,2,0,020971 | 022466,,INJECTABLE;INJECTION,,2000-04-03,2010-02-26,4,0,Cardiovascular,SHORT,0,,,,,No
ASCIMINIB HYDROCHLORIDE,SCEMBLIX,NOVARTIS PHARMACEUTICALS CORP,1,0,215358,,TABLET;ORAL,,2021-10-29,2024-04-18,3,0,Oncology,LONG-TERM,4,2040-05-17,2040,I-953 | I-954 | M-318 | NCE | ODE* | ODE-381 | ODE-382 | ODE-499 | ODE-500,2031-10-29,Yes
ASCORBIC ACID,ASCOR | ASCORBIC ACID,FRESENIUS KABI USA LLC | MCGUFF PHARMACEUTICALS INC,1,1,209112,217131,SOLUTION;INTRAVENOUS,AP,2017-10-02,2025-08-07,1,1,Other/Unclassified,OTHER,0,,,,,No
ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K,INFUVITE PEDIATRIC | INFUVITE PEDIATRIC (PHARMACY BULK PACKAGE) | MULTIPLE VITAMINS INJECTION PEDIATRIC | MULTIPLE VITAMINS INJECTION PEDIATRIC (PHARMACY BULK PACKAGE),APOTEX INC | SANDOZ CANADA INC,1,2,021265,210456 | 210671,INJECTABLE;INTRAVENOUS,AP,2001-02-21,2026-04-21,2,2,Metabolic,CHRONIC,0,,,,,No
ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE,"MOVIPREP | PEG-3350, SODIUM SULFATE, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM ASCORBATE AND ASCORBIC ACID | PLENVU",NOVEL LABORATORIES INC | SALIX PHARMACEUTICALS INC,2,1,021881 | 209381,090145,FOR SOLUTION;ORAL,AA,2006-08-02,2018-05-04,2,1,GI,PERIODIC,11,2033-09-10,2033,,,No
ASENAPINE,SECUADO,HISAMITSU PHARMACEUTICAL CO INC,1,0,212268,,SYSTEM;TRANSDERMAL,,2019-10-11,2019-10-11,3,0,Psychiatric,CHRONIC,6,2033-09-22,2033,,,No
ASENAPINE MALEATE,ASENAPINE MALEATE | SAPHRIS,ABBVIE INC | ALEMBIC PHARMACEUTICALS LTD | BRECKENRIDGE PHARMACEUTICAL INC | SIGMAPHARM LABORATORIES LLC,1,3,022117,205960 | 206098 | 206107,TABLET;SUBLINGUAL,AB,2009-08-13,2021-07-19,3,8,Psychiatric,CHRONIC,4,2026-10-06,2026,,,No
ASPIRIN,VAZALORE,PLX PHARMA INC,1,0,203697,,CAPSULE;ORAL,,2013-01-14,2021-02-26,2,0,Cardiovascular,CHRONIC,4,2032-09-29,2032,,,No
ASPIRIN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ASPIRIN AND CAFFEINE | LANORINAL",MPP PHARMA LLC | SANDOZ INC,0,2,,078149 | 086996,CAPSULE;ORAL,AA,1985-10-11,2007-06-13,0,2,Cardiovascular,CHRONIC,0,,,,,No
ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",JEROME STEVENS PHARMACEUTICALS INC | LGM PHARMA SOLUTIONS LLC,0,2,,074951 | 075231,CAPSULE;ORAL,AB,1998-08-31,2001-11-30,0,2,Cardiovascular,CHRONIC,0,,,,,No
ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,ORPHENGESIC | ORPHENGESIC FORTE,GALT PHARMACEUTICALS LLC,0,1,,075141,TABLET;ORAL,,1998-05-29,1998-05-29,0,2,Cardiovascular,CHRONIC,0,,,,,No
ASPIRIN; DIPYRIDAMOLE,ASPIRIN AND DIPYRIDAMOLE,AMNEAL PHARMACEUTICALS OF NEW YORK LLC | BARR LABORATORIES INC | DR REDDYS LABORATORIES LTD | GLENMARK SPECIALTY SA | MICRO LABS LTD | PH HEALTH LTD | SANDOZ INC | ZYDUS PHARMACEUTICALS USA INC,0,8,,078804 | 206392 | 206739 | 206753 | 207944 | 209048 | 209929 | 210318,"CAPSULE, EXTENDED RELEASE;ORAL",AB,2009-08-14,2021-08-11,0,8,Cardiovascular,CHRONIC,0,,,,,No
ASPIRIN; HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ASPIRIN,LGM PHARMA SOLUTIONS LLC,0,1,,205479,TABLET;ORAL,,2021-05-28,2021-05-28,0,1,Cardiovascular,CHRONIC,0,,,,,No
ATAZANAVIR SULFATE,ATAZANAVIR SULFATE | REYATAZ,AUROBINDO PHARMA LTD | BRISTOL MYERS SQUIBB CO | HETERO LABS LTD UNIT III | LAURUS LABS LTD | TEVA PHARMACEUTICALS USA,2,4,021567 | 206352,091673 | 204806 | 212278 | 212579,CAPSULE;ORAL | POWDER;ORAL,AB,2003-06-20,2022-02-02,3,14,Infectious,CHRONIC,0,,,,,No
ATAZANAVIR SULFATE; COBICISTAT,EVOTAZ,BRISTOL MYERS SQUIBB CO,1,0,206353,,TABLET;ORAL,,2015-01-29,2015-01-29,1,0,Infectious,CHRONIC,2,2032-10-06,2032,,,No
ATENOLOL,ATENOLOL | TENORMIN,AIPING PHARMACEUTICAL INC | AUROBINDO PHARMA LTD | IPCA LABORATORIES LTD | MYLAN PHARMACEUTICALS INC | PHARMOBEDIENT CONSULTING LLC | TEVA PHARMACEUTICALS USA INC | TWI PHARMACEUTICALS INC | UNICHEM LABORATORIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC,1,9,018240,072304 | 073026 | 073457 | 074056 | 076900 | 077443 | 077877 | 078512 | 213136,TABLET;ORAL,AB,1988-07-15,2019-11-21,3,27,Cardiovascular,CHRONIC,0,,,,,No
ATENOLOL; CHLORTHALIDONE,ATENOLOL AND CHLORTHALIDONE,AIPING PHARMACEUTICAL INC | NOVITIUM PHARMA LLC | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC,0,5,,072302 | 073665 | 210028 | 213302 | 215560,TABLET;ORAL,AB,1990-05-31,2021-10-25,0,10,Cardiovascular,CHRONIC,0,,,,,No
ATOGEPANT,QULIPTA,ABBVIE INC,1,0,215206,,TABLET;ORAL,,2021-09-28,2021-09-28,3,0,Other/Unclassified,OTHER,9,2043-02-27,2043,NCE,2026-09-28,Yes
ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE | ATONCY,APOTEX INC | AUROBINDO PHARMA LTD | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT V | MAP77 LLC | STRIDES PHARMA GLOBAL PTE LTD | TEVA PHARMACEUTICALS USA | ZYDUS PHARMACEUTICALS USA INC,1,8,220320,078983 | 079016 | 079017 | 079019 | 079021 | 079022 | 090609 | 202682,CAPSULE;ORAL | SOLUTION;ORAL,AB,2010-09-16,2026-03-20,1,56,Psychiatric,CHRONIC,0,,,,,No
ATORVASTATIN CALCIUM,ATORVALIQ | ATORVASTATIN CALCIUM | LIPITOR,ACCORD HEALTHCARE INC | ALKEM LABORATORIES LTD | APOTEX INC | AUROBINDO PHARMA LTD | BIOCON PHARMA LTD | CHARTWELL RX SCIENCES LLC | CMP DEVELOPMENT LLC | DR REDDYS LABORATORIES LTD | GRAVITI PHARMACEUTICALS PRIVATE LTD | HETERO LABS LTD UNIT V | LANNETT CO INC | LAURUS LABS LTD | MACLEODS PHARMACEUTICALS LTD | MANKIND PHARMA LTD | MICRO LABS LTD INDIA | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | SCIEGEN PHARMACEUTICALS INC | SHANDONG XINHUA PHARMACEUTICAL CO LTD | TEVA PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA | UMEDICA LABORATORIES PRIVATE LTD | UPJOHN MANUFACTURING IRELAND UNLTD | ZYDUS PHARMACEUTICALS USA INC,2,25,020702 | 213260,077575 | 090548 | 091226 | 091624 | 091650 | 202357 | 205300 | 205519 | 205945 | 206536 | 207687 | 208480 | 209288 | 209912 | 211886 | 211933 | 213853 | 214344 | 214513 | 214659 | 214969 | 216436 | 217081 | 217118 | 220276,SUSPENSION;ORAL | TABLET;ORAL,AB | BX,1996-12-17,2025-11-13,5,96,Metabolic,CHRONIC,6,2037-06-07,2037,,,No
ATORVASTATIN CALCIUM; EZETIMIBE,LYPQOZET,PHARMOBEDIENT CONSULTING LLC,0,1,,206084,TABLET;ORAL,,2017-04-26,2017-04-26,0,4,Metabolic,CHRONIC,0,,,,,No
ATOVAQUONE,ATOVAQUONE | MEPRON,ABHAI LLC | AMNEAL PHARMACEUTICALS | BIONPHARMA INC | CHARTWELL RX SCIENCES LLC | GLAXOSMITHKLINE LLC | GLENMARK SPECIALTY SA | HETERO LABS LTD UNIT III | PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC AND DBA PAI PHARMA,1,7,020500,202960 | 207833 | 209685 | 210510 | 210692 | 212918 | 214272,SUSPENSION;ORAL,AB,1995-02-08,2021-10-25,1,7,Infectious,SHORT,0,,,,,No
ATOVAQUONE; PROGUANIL HYDROCHLORIDE,ATOVAQUONE AND PROGUANIL HYDROCHLORIDE | MALARONE | MALARONE PEDIATRIC,GLAXOSMITHKLINE | GLENMARK PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC,1,2,021078,091211 | 202362,TABLET;ORAL,AB,2000-07-14,2015-04-06,2,4,Infectious,SHORT,0,,,,,No
ATRACURIUM BESYLATE,ATRACURIUM BESYLATE | ATRACURIUM BESYLATE PRESERVATIVE FREE,HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | MEITHEAL PHARMACEUTICALS INC,0,6,,074900 | 074901 | 090761 | 090782 | 091488 | 091489,INJECTABLE;INJECTION,AP,1997-07-18,2012-10-18,0,6,Other,SHORT,0,,,,,No
ATRASENTAN HYDROCHLORIDE,VANRAFIA,NOVARTIS PHARMACEUTICALS CORP,1,0,219208,,TABLET;ORAL,,2025-04-02,2025-04-02,1,0,Other/Unclassified,OTHER,10,2043-03-25,2043,NCE,2030-04-02,Yes
ATROPINE SULFATE,ATROPINE SULFATE | ISOPTO ATROPINE,ACCORD HEALTHCARE INC | ALCON LABORATORIES INC | AMERICAN REGENT INC | AMNEAL EU LTD | APOTEX INC | BAUSCH AND LOMB INC | EDENBRIDGE PHARMACEUTICALS LLC | FRESENIUS KABI USA LLC | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | INTERNATIONAL MEDICATION SYSTEMS LTD | MANKIND PHARMA LTD | MEDEFIL INC | RISING PHARMA HOLDINGS INC | SOMERSET THERAPEUTICS LLC,6,16,021146 | 206289 | 208151 | 209260 | 213581 | 214652,212461 | 212868 | 213424 | 213561 | 214752 | 214970 | 215005 | 215342 | 215618 | 215624 | 215969 | 216120 | 217345 | 217791 | 218148 | 219013,"SOLUTION/DROPS;OPHTHALMIC | SOLUTION;INTRAVENOUS | SOLUTION;INTRAVENOUS, INTRAMUSCULAR, SUBCUTANEOUS, INTRAOSSEOUS, ENDOTRACHEAL",AP | AT1 | AT2,2001-07-09,2026-04-15,8,22,Cardiovascular,SHORT,0,,,,,No
ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE,MOTOFEN,LEGACY PHARMA INC,1,0,017744,,TABLET;ORAL,,,,1,0,Cardiovascular,SHORT,0,,,,,No
ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE,DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE | LOMOTIL,ANI PHARMACEUTICALS INC | CHARTWELL RX SCIENCES LLC | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | LEADING PHARMA LLC | PFIZER INC | SPECGX LLC | UNICHEM LABORATORIES LTD | WINDER LABORATOIRIES LLC,1,8,012462,085372 | 086727 | 087708 | 207128 | 210819 | 211362 | 213335 | 213413,SOLUTION;ORAL | TABLET;ORAL,AA,1982-05-03,2021-01-27,2,8,Cardiovascular,SHORT,0,,,,,No
ATROPINE; PRALIDOXIME CHLORIDE,DUODOTE,MERIDIAN MEDICAL TECHNOLOGIES LLC,1,0,021983,,INJECTABLE;INTRAMUSCULAR,,2006-09-28,2006-09-28,1,0,Cardiovascular,SHORT,0,,,,,No
AURANOFIN,RIDAURA,LEGACY PHARMA INC,1,0,018689,,CAPSULE;ORAL,,1985-05-24,1985-05-24,1,0,Other/Unclassified,OTHER,0,,,,,No
AVACINCAPTAD PEGOL SODIUM,IZERVAY,ASTELLAS PHARMA US INC,1,0,217225,,SOLUTION;INTRAVITREAL,,2023-08-04,2023-08-04,1,0,Other/Unclassified,OTHER,6,2034-07-11,2034,,,No
AVACOPAN,TAVNEOS,CHEMOCENTRYX INC,1,0,214487,,CAPSULE;ORAL,,2021-10-07,2021-10-07,1,0,Other/Unclassified,OTHER,4,2039-11-27,2039,NCE | ODE-377,2028-10-07,Yes
AVANAFIL,AVANAFIL | STENDRA,HETERO LABS LTD UNIT V | VIVUS LLC,1,1,202276,209266,TABLET;ORAL,AB,2012-04-27,2024-06-14,3,3,Other/Unclassified,OTHER,0,,,,,No
AVAPRITINIB,AYVAKIT,BLUEPRINT MEDICINES CORP,1,0,212608,,TABLET;ORAL,,2020-01-09,2021-06-16,5,0,Oncology,LONG-TERM,8,2042-03-08,2042,ODE-356 | ODE-366 | ODE-434,2030-05-22,No
AVATROMBOPAG MALEATE,DOPTELET | DOPTELET SPRINKLE,AKARX INC,2,0,210238 | 219696,,GRANULE;ORAL | TABLET;ORAL,,2018-05-21,2025-07-24,2,0,Other/Unclassified,OTHER,1,2027-07-28,2027,I-974 | NP | ODE-548,2032-07-24,No
AVIBACTAM SODIUM; AZTREONAM,EMBLAVEO,ABBVIE INC,1,0,217906,,POWDER;INTRAVENOUS,,2025-02-07,2025-02-07,1,0,Infectious,SHORT,7,2032-06-15,2032,GAIN | NP,2033-02-07,Yes
AVIBACTAM SODIUM; CEFTAZIDIME,AVYCAZ,ABBVIE INC,1,0,206494,,POWDER;INTRAVENOUS,,2015-02-25,2015-02-25,1,0,Infectious,SHORT,7,2032-06-15,2032,NPP,2027-01-26,No
AVOBENZONE; ECAMSULE; OCTOCRYLENE,ANTHELIOS SX | CAPITAL SOLEIL 15,LOREAL USA PRODUCTS INC,2,0,021501 | 021502,,CREAM;TOPICAL,,2006-07-21,2006-10-02,2,0,Other/Unclassified,OTHER,0,,,,,No
AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE,ANTHELIOS 20 | ANTHELIOS 40,LOREAL USA PRODUCTS INC,2,0,021471 | 022009,,CREAM;TOPICAL,,2006-10-05,2009-10-29,3,0,Other/Unclassified,OTHER,0,,,,,No
AVUTOMETINIB POTASSIUM; DEFACTINIB HYDROCHLORIDE,AVMAPKI FAKZYNJA CO-PACK (COPACKAGED),VERASTEM INC,1,0,219616,,"CAPSULE, TABLET;ORAL",,2025-05-08,2025-05-08,1,0,Oncology,LONG-TERM,7,2042-12-29,2042,NCE | ODE-525,2032-05-08,Yes
AXITINIB,INLYTA,PF PRISM CV,1,0,202324,,TABLET;ORAL,,2012-01-27,2012-01-27,2,0,Oncology,LONG-TERM,8,2037-07-12,2037,,,No
AZACITIDINE,AZACITIDINE | ONUREG | VIDAZA,ACCORD HEALTHCARE INC | ACTAVIS LLC | BRISTOL MYERS SQUIBB CO | BRISTOL-MYERS SQUIBB CO | CIPLA LTD | DR REDDYS LABORATORIES LTD | EUGIA PHARMA SPECIALITIES LTD | EUROHEALTH INTERNATIONAL SARL | HETERO LABS LTD UNIT VI | JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD | MEITHEAL PHARMACEUTICALS INC | MSN LABORATORIES PRIVATE LTD | NATCO PHARMA LTD | RELIANCE LIFE SCIENCES PVT LTD | SHILPA MEDICARE LTD,3,12,050794 | 208216 | 214120,201537 | 207234 | 207475 | 207518 | 209337 | 209540 | 212128 | 212580 | 215066 | 215765 | 215905 | 217453,"POWDER;INTRAVENOUS, SUBCUTANEOUS | TABLET;ORAL",AP,2004-05-19,2025-05-20,3,12,GI,CHRONIC,3,2030-06-03,2030,ODE-320 | ODE-399,2029-05-20,No
