Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
OZANIMOD HYDROCHLORIDE,ZEPOSIA,BRISTOL MYERS SQUIBB CO,1,0,209899,,CAPSULE;ORAL,,2020-03-25,2020-03-25,3,0,Neurology,CHRONIC,5,2038-09-30,2038,M-309,2027-08-30,No
PACLITAXEL,ABRAXANE | PACLITAXEL,ACCORD HEALTHCARE INC | ACTAVIS TOTOWA LLC | ALEMBIC PHARMACEUTICALS LTD | AMERICAN REGENT INC | BRISTOL-MYERS SQUIBB CO | CIPLA LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HAINAN SHUANGCHENG PHARMACEUTICALS CO LTD | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | JIANGSU HENGRUI PHARMACEUTICALS CO LTD | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | TEVA PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA,3,13,021660 | 211875 | 216338,075184 | 075190 | 076131 | 077574 | 090130 | 205720 | 207326 | 209657 | 212700 | 213434 | 216355 | 216874 | 217877,INJECTABLE;INJECTION | POWDER;INTRAVENOUS,AB | AP,2002-01-25,2025-08-19,3,13,Oncology,LONG-TERM,14,2034-07-12,2034,,,No
PACRITINIB CITRATE,VONJO,SOBI INC,1,0,208712,,CAPSULE;ORAL,,2022-02-28,2022-02-28,1,0,Oncology,LONG-TERM,3,2030-03-25,2030,NCE | ODE-397,2029-02-28,Yes
PAFOLACIANINE SODIUM,CYTALUX,ON TARGET LABORATORIES INC,1,0,214907,,SOLUTION;INTRAVENOUS,,2021-11-29,2021-11-29,1,0,Other/Unclassified,OTHER,6,2035-11-29,2035,NCE | ODE-390,2028-11-29,Yes
PALBOCICLIB,IBRANCE,PFIZER INC,2,0,207103 | 212436,,CAPSULE;ORAL | TABLET;ORAL,,2015-02-03,2019-11-01,6,0,Oncology,LONG-TERM,6,2037-02-19,2037,M-14 | PED,2029-03-16,Yes
PALIPERIDONE,INVEGA | PALIPERIDONE,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | ASCENT PHARMACEUTICALS INC | CSPC OUYI PHARMACEUTICAL CO LTD | DR REDDYS LABORATORIES LTD | ESKAYEF PHARMACEUTICALS LTD | I3 PHARMACEUTICALS LLC | INVENTIA HEALTHCARE LTD | JANSSEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | ZYDUS PHARMACEUTICALS USA INC,1,11,021999,204452 | 204707 | 205402 | 205559 | 205618 | 212807 | 216174 | 217445 | 218330 | 218514 | 218755,"TABLET, EXTENDED RELEASE;ORAL",AB,2006-12-19,2026-05-07,3,43,Psychiatric,CHRONIC,0,,,,,No
PALIPERIDONE PALMITATE,ERZOFRI | INVEGA HAFYERA | INVEGA SUSTENNA | INVEGA TRINZA,JANSSEN PHARMACEUTICALS INC | LUYE INNOMIND PHARMA (SHIJIAZHUANG) CO LTD,3,0,022264 | 207946 | 216352,,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",,2009-07-31,2024-07-26,17,0,Psychiatric,CHRONIC,8,2041-11-24,2041,,,No
PALONOSETRON HYDROCHLORIDE,PALONOSETRON HYDROCHLORIDE | POSFREA,AVET LIFESCIENCES LTD | AVYXA HOLDINGS LLC | BAXTER HEALTHCARE CORP | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES LTD | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | HOSPIRA INC | MEITHEAL PHARMACEUTICALS INC | MYLAN INSTITUTIONAL LLC | QILU PHARMACEUTICAL HAINAN CO LTD | SAGENT PHARMACEUTICALS INC | SANDOZ INC | TEVA PHARMACEUTICALS USA,1,15,203050,090713 | 201533 | 202521 | 202951 | 204289 | 204702 | 205648 | 205870 | 206416 | 206801 | 206802 | 206916 | 207005 | 209287 | 215861,INJECTABLE;INTRAVENOUS | SOLUTION;INTRAVENOUS,AP,2015-10-13,2023-08-14,1,16,GI,SHORT,0,,,,,No
PALOPEGTERIPARATIDE,YORVIPATH,ASCENDIS PHARMA BONE DISEASES AS,1,0,216490,,SOLUTION;SUBCUTANEOUS,,2024-08-09,2024-08-09,3,0,Metabolic,CHRONIC,9,2042-11-12,2042,NCE | ODE-492,2031-08-09,Yes
PALOVAROTENE,SOHONOS,IPSEN BIOPHARMACEUTICALS INC,1,0,215559,,CAPSULE;ORAL,,2023-08-16,2023-08-16,5,0,Other/Unclassified,OTHER,9,2037-06-08,2037,NCE | ODE-439,2030-08-16,Yes
