Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Orange Book,Eribulin Mesylate,ERIBULIN MESYLATE,Breast cancer,Oncology – Solid Tumor,chemical,TUBB4B,0.01,1MG/2ML (0.5MG/mL) IV,As directed,Long-term (until progression / disease control)
Orange Book,Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.00,25MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE,Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.00,25MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Ertugliflozin,STEGLATRO,Type 2 diabetes,Endocrinology – Diabetes,chemical,SLC5A2,0.31,15MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ertugliflozin,STEGLATRO,Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2,0.31,15MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ertugliflozin; Metformin Hydrochloride,SEGLUROMET,Type 2 diabetes,Endocrinology – Diabetes,chemical,"SLC5A2, MT-ND6, GPD2",0.02,7.5MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ertugliflozin; Metformin Hydrochloride,SEGLUROMET,Diabetes mellitus,Endocrinology – Diabetes,chemical,"SLC5A2, MT-ND6, GPD2",0.02,7.5MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ertugliflozin; Sitagliptin Phosphate,STEGLUJAN,Type 2 diabetes,Endocrinology – Diabetes,chemical,"SLC5A2, DPP4",0.00,15MG; 100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ertugliflozin; Sitagliptin Phosphate,STEGLUJAN,Diabetes mellitus,Endocrinology – Diabetes,chemical,"SLC5A2, DPP4",0.00,15MG; 100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Escitalopram Oxalate,ESCITALOPRAM,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4,0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Escitalopram Oxalate,ESCITALOPRAM,Anxiety disorder,Psychiatry – Mood,chemical,SLC6A4,0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Eslicarbazepine Acetate,APTIOM,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.25,800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Esmolol Hydrochloride,BREVIBLOC,Atrial fibrillation,Cardiovascular – Arrhythmia,chemical,"ADRB1, ADRB2",0.00,2.5GM/250ML (10MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Esmolol Hydrochloride,BREVIBLOC,Hypertension,Cardiovascular – Arrhythmia,chemical,"ADRB1, ADRB2",0.00,2.5GM/250ML (10MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Esmolol Hydrochloride,BREVIBLOC,Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,"ADRB1, ADRB2",0.00,2.5GM/250ML (10MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.09,20MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Esomeprazole Magnesium; Naproxen,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,"ATP4A, PTGS2",,20MG BASE; 375MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Esomeprazole Magnesium; Naproxen,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,Rheumatoid arthritis,Gastroenterology – Acid-Related,chemical,"ATP4A, PTGS2",,20MG BASE; 375MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Esomeprazole Magnesium; Naproxen,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,Ankylosing spondylitis,Gastroenterology – Acid-Related,chemical,"ATP4A, PTGS2",,20MG BASE; 375MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Esomeprazole Magnesium; Naproxen,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,Osteoarthritis,Gastroenterology – Acid-Related,chemical,"ATP4A, PTGS2",,20MG BASE; 375MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Esomeprazole Sodium,ESOMEPRAZOLE SODIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,,40MG BASE/VIAL IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Estradiol,CLIMARA,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1,0.12,10MCG,As directed,Indefinite (lifelong maintenance)
Orange Book,Estradiol Acetate,FEMRING,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1,0.00,0.1MG BASE/24HR,Once daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol Cypionate,DEPO-ESTRADIOL,Hypogonadism,Endocrinology – Reproductive,chemical,ESR1,,5MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Estradiol Cypionate,DEPO-ESTRADIOL,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,ESR1,,5MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Estradiol Valerate,DELESTROGEN,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1,,20MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Levonorgestrel,CLIMARA PRO,Osteoporosis,Bone / Metabolic,chemical,"ESR1, PGR",,0.045MG/24HR; 0.015MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Levonorgestrel,CLIMARA PRO,Menopausal / hormone therapy,Bone / Metabolic,chemical,"ESR1, PGR",,0.045MG/24HR; 0.015MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Norethindrone Acetate,ACTIVELLA,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,"ESR1, PGR",0.01,1MG; 0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Norethindrone Acetate; Relugolix,MYFEMBREE,Chronic pain,Endocrinology – Reproductive,chemical,"ESR1, PGR, GNRHR",0.04,1MG; 0.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Norethindrone Acetate; Relugolix,MYFEMBREE,Endometriosis,Endocrinology – Reproductive,chemical,"ESR1, PGR, GNRHR",0.04,1MG; 0.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Norethindrone Acetate; Relugolix,MYFEMBREE,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,"ESR1, PGR, GNRHR",0.04,1MG; 0.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Estradiol; Progesterone,BIJUVA,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,"ESR1, PGR",0.00,1MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,"Estrogens, Conjugated",CONJUGATED ESTROGENS,Breast cancer,Endocrinology – Reproductive,mixture,ESR2,0.14,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,"Estrogens, Conjugated",CONJUGATED ESTROGENS,Hypogonadism,Endocrinology – Reproductive,mixture,ESR2,0.14,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,"Estrogens, Conjugated",CONJUGATED ESTROGENS,Menopausal / hormone therapy,Endocrinology – Reproductive,mixture,ESR2,0.14,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,"Estrogens, Conjugated; Medroxyprogesterone Acetate",PREMPRO,Osteoporosis,Bone / Metabolic,mixture,"ESR2, PGR",0.04,0.625MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,"Estrogens, Conjugated; Medroxyprogesterone Acetate",PREMPRO,Menopausal / hormone therapy,Bone / Metabolic,mixture,"ESR2, PGR",0.04,0.625MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Etelcalcetide,PARSABIV,Secondary hyperparathyroidism,Nephrology,chemical,CASR,,10MG/2ML IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Etelcalcetide,PARSABIV,Chronic kidney disease,Nephrology,chemical,CASR,,10MG/2ML IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Ethacrynic Acid,EDECRIN,Heart failure,Cardiovascular – Heart Failure,chemical,SLC12A1,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Ethynodiol Diacetate,KELNOR,Contraception,Endocrinology – Reproductive,chemical,"ESR1, PGR",0.02,0.035MG; 1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Etonogestrel,ELURYNG,Contraception,Endocrinology – Reproductive,chemical,"ESR1, PGR",0.12,0.015MG/24HR; 0.12MG/24HR,As directed,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Levonorgestrel,AFIRMELLE,Contraception,Endocrinology – Reproductive,chemical,"ESR1, PGR",0.07,0.02MG; 0.1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Norelgestromin,ONSURA,Metabolic disorder,Endocrinology – Metabolic,mixture,"ESR1, PGR",0.14,0.035MG/24HR; 0.15MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Norethindrone,ARANELLE,Contraception,Endocrinology – Reproductive,chemical,"ESR1, PGR",0.00,"0.035MG,0.035MG,0.035MG; 0.5MG,1MG,0.5MG oral",Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Norethindrone Acetate,AUROVELA 24 FE,Metabolic disorder,Endocrinology – Metabolic,chemical,"ESR1, PGR",0.00,"0.01MG,0.01MG; 1MG,N/A oral",Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Norgestimate,ESTARYLLA,Acne,Endocrinology – Metabolic,mixture,"ESR1, PGR",0.02,0.035MG; 0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Norgestrel,CRYSELLE,Metabolic disorder,Endocrinology – Metabolic,chemical,"ESR1, PGR",0.00,0.03MG; 0.3MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ethinyl Estradiol; Segesterone Acetate,ANNOVERA,Metabolic disorder,Endocrinology – Metabolic,chemical,"ESR1, PGR",0.02,0.013MG/24HR; 0.15MG/24HR,As directed,Indefinite (lifelong maintenance)
Orange Book,Ethosuximide,ETHOSUXIMIDE,Epilepsy / seizures,Neurology – Epilepsy,chemical,CACNA1H,0.00,250MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Everolimus,AFINITOR,Breast cancer,Autoimmune – Rheumatology,chemical,FKBP1A,0.25,1MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Everolimus,AFINITOR,Menopausal / hormone therapy,Autoimmune – Rheumatology,chemical,FKBP1A,0.25,1MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Exemestane,AROMASIN,Breast cancer,Oncology – Solid Tumor,chemical,CYP19A1,0.01,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Exemestane,AROMASIN,Menopausal / hormone therapy,Oncology – Solid Tumor,chemical,CYP19A1,0.01,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Exenatide Synthetic,EXENATIDE SYNTHETIC,Type 2 diabetes,Endocrinology – Diabetes,protein,GLP1R,,300MCG/1.2ML SC,Weekly or as directed,Indefinite (lifelong maintenance)
Orange Book,Ezetimibe,EZETIMIBE,Hypercholesterolemia,Endocrinology – Lipid,chemical,NPC1L1,0.03,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ezetimibe; Simvastatin,EZETIMIBE AND SIMVASTATIN,Dyslipidemia,Endocrinology – Lipid,chemical,"NPC1L1, HMGCR",,10MG; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ezetimibe; Simvastatin,EZETIMIBE AND SIMVASTATIN,CV risk reduction,Endocrinology – Lipid,chemical,"NPC1L1, HMGCR",,10MG; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Famotidine,FAMOTIDINE,GERD,Gastroenterology – Acid-Related,chemical,HRH2,0.31,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Famotidine,FAMOTIDINE,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,HRH2,0.31,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Famotidine; Ibuprofen,IBUPROFEN AND FAMOTIDINE,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,"HRH2, PTGS2",,26.6MG; 800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Famotidine; Ibuprofen,IBUPROFEN AND FAMOTIDINE,Rheumatoid arthritis,Gastroenterology – Acid-Related,chemical,"HRH2, PTGS2",,26.6MG; 800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Famotidine; Ibuprofen,IBUPROFEN AND FAMOTIDINE,Osteoarthritis,Gastroenterology – Acid-Related,chemical,"HRH2, PTGS2",,26.6MG; 800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Febuxostat,FEBUXOSTAT,Gout,Metabolic – Gout,chemical,XDH,0.00,80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Febuxostat,FEBUXOSTAT,Hyperuricemia,Metabolic – Gout,chemical,XDH,0.00,80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fedratinib Hydrochloride,INREBIC,Myelofibrosis,Oncology – Hematologic,chemical,"JAK2, FLT3",0.00,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Felbamate,FELBAMATE,Anemia,Neurology – Epilepsy,chemical,GRIN1,0.03,600MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Felbamate,FELBAMATE,Epilepsy / seizures,Neurology – Epilepsy,chemical,GRIN1,0.03,600MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Felodipine,FELODIPINE,Hypertension,Cardiovascular – Ischemic,chemical,"NR3C2, CACNA1C",0.00,2.5MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Felodipine,FELODIPINE,Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,"NR3C2, CACNA1C",0.00,2.5MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fenofibrate,ANTARA (MICRONIZED),Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,PPARA,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fenofibrate,ANTARA (MICRONIZED),Hypertriglyceridemia,Endocrinology – Lipid,chemical,PPARA,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fentanyl,FENTANYL-100,Chronic pain,Pain – Chronic,chemical,OPRM1,0.46,100MCG/HR transdermal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fentanyl,FENTANYL-100,Cancer pain,Pain – Chronic,chemical,OPRM1,0.46,100MCG/HR transdermal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fentanyl Citrate,FENTANYL CITRATE,Chronic pain,Pain – Chronic,chemical,OPRM1,,0.05MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Fentanyl Citrate,FENTANYL CITRATE,Cancer pain,Pain – Chronic,chemical,OPRM1,,0.05MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Ferric Carboxymaltose,INJECTAFER,Anemia,Hematology – Anemia,polymer,Supplement,0.09,500MG IRON/10ML (50MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Ferric Carboxymaltose,INJECTAFER,Heart failure,Hematology – Anemia,polymer,Supplement,0.09,500MG IRON/10ML (50MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Ferric Carboxymaltose,INJECTAFER,Chronic kidney disease,Hematology – Anemia,polymer,Supplement,0.09,500MG IRON/10ML (50MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Ferric Citrate,AURYXIA,Metabolic disorder,Endocrinology – Metabolic,chemical,Phosphate sequestering agent,0.04,210MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ferric Derisomaltose,MONOFERRIC,Anemia,Hematology – Anemia,polymer,Supplement,0.02,1GM/10ML (100MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Ferric Derisomaltose,MONOFERRIC,Chronic kidney disease,Hematology – Anemia,polymer,Supplement,0.02,1GM/10ML (100MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Ferric Hexacyanoferrate(ii),RADIOGARDASE (PRUSSIAN BLUE),Metabolic disorder,Endocrinology – Metabolic,chemical,Radioactive metals chelating agent,,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ferric Maltol,ACCRUFER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,0.01,30MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Ferric Oxyhydroxide,VELPHORO,Chronic kidney disease,Endocrinology – Metabolic,chemical,Phosphate sequestering agent,0.09,500MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fesoterodine Fumarate,FESOTERODINE FUMARATE,Overactive bladder,Urology – Bladder,chemical,"CHRM3, CHRM2",0.03,8MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Finasteride,FINASTERIDE,Metabolic disorder,Endocrinology – Metabolic,chemical,SRD5A2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Finasteride; Tadalafil,FINASTERIDE AND TADALAFIL,Metabolic disorder,Endocrinology – Metabolic,chemical,"SRD5A2, PDE5A",,5MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Finerenone,KERENDIA,Type 2 diabetes,Cardiovascular – Heart Failure,chemical,NR3C2,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Finerenone,KERENDIA,Heart failure,Cardiovascular – Heart Failure,chemical,NR3C2,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Finerenone,KERENDIA,Myocardial infarction (risk reduction),Cardiovascular – Heart Failure,chemical,NR3C2,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Finerenone,KERENDIA,Chronic kidney disease,Cardiovascular – Heart Failure,chemical,NR3C2,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fingolimod Hydrochloride,FINGOLIMOD HYDROCHLORIDE,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR5,0.19,0.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fingolimod Lauryl Sulfate,TASCENSO ODT,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR5,,0.5MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Flecainide Acetate,FLECAINIDE ACETATE,Atrial fibrillation,Cardiovascular – Arrhythmia,chemical,SCN5A,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Flecainide Acetate,FLECAINIDE ACETATE,Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,SCN5A,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fludarabine Phosphate,FLUDARABINE PHOSPHATE,Chronic lymphocytic leukemia,Endocrinology – Metabolic,chemical,"RRM1, POLA1",,50MG/VIAL,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluocinolone Acetonide,DERMOTIC,Skin disorder,Dermatology – General,chemical,NR3C1,0.01,0.01% topical,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluocinolone Acetonide; Hydroquinone; Tretinoin,TRI-LUMA,Acne,Autoimmune – Dermatology,chemical,"NR3C1, RARG",,0.01%; 4% … topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluocinolone Acetonide; Hydroquinone; Tretinoin,TRI-LUMA,Psoriasis,Autoimmune – Dermatology,chemical,"NR3C1, RARG",,0.01%; 4% … topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluocinolone Acetonide; Hydroquinone; Tretinoin,TRI-LUMA,Photoageing,Autoimmune – Dermatology,chemical,"NR3C1, RARG",,0.01%; 4% … topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluocinolone Acetonide; Neomycin Sulfate,NEO-SYNALAR,Skin disorder,Dermatology – General,mixture,"NR3C1, rpsB",,0.025%; 3.5MG BASE/GM topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluocinonide,FLUOCINONIDE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluoroestradiol F-18,CERIANNA,Breast cancer,Endocrinology – Metabolic,chemical,Diagnostic agent,,50ML (4-100mCi/mL) IV,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluorouracil,CARAC,Basal cell carcinoma,Oncology – Solid Tumor,chemical,TYMS,0.00,2% topical,As directed,Long-term (until progression / disease control)
Orange Book,Fluoxetine Hydrochloride,FLUOXETINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4,0.15,90MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride,FLUOXETINE HYDROCHLORIDE,Obsessive-compulsive disorder,Psychiatry – Mood,chemical,SLC6A4,0.15,90MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride,FLUOXETINE HYDROCHLORIDE,Panic disorder,Psychiatry – Mood,chemical,SLC6A4,0.15,90MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride,FLUOXETINE HYDROCHLORIDE,Nausea / vomiting,Psychiatry – Mood,chemical,SLC6A4,0.15,90MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride; Olanzapine,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,"SLC6A4, HTR2A, HTR2C, DRD2",,25MG BASE; 3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride; Olanzapine,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Obsessive-compulsive disorder,Psychiatry – Mood,chemical,"SLC6A4, HTR2A, HTR2C, DRD2",,25MG BASE; 3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride; Olanzapine,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Panic disorder,Psychiatry – Mood,chemical,"SLC6A4, HTR2A, HTR2C, DRD2",,25MG BASE; 3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluoxetine Hydrochloride; Olanzapine,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Nausea / vomiting,Psychiatry – Mood,chemical,"SLC6A4, HTR2A, HTR2C, DRD2",,25MG BASE; 3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Fluphenazine Decanoate,FLUPHENAZINE DECANOATE,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2,,25MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluphenazine Decanoate,FLUPHENAZINE DECANOATE,Bipolar disorder,Psychiatry – Psychotic,chemical,DRD2,,25MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluphenazine Decanoate,FLUPHENAZINE DECANOATE,Nausea,Psychiatry – Psychotic,chemical,DRD2,,25MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2,,5MG/mL oral,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,Bipolar disorder,Psychiatry – Psychotic,chemical,DRD2,,5MG/mL oral,As directed,Indefinite (lifelong maintenance)
Orange Book,Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,Nausea,Psychiatry – Psychotic,chemical,DRD2,,5MG/mL oral,As directed,Indefinite (lifelong maintenance)
Orange Book,Flurandrenolide,CORDRAN,Skin disorder,Dermatology – General,chemical,NR3C1,,0.004MG/SQ CM topical,As directed,Indefinite (lifelong maintenance)
Orange Book,Flutamide,FLUTAMIDE,Benign prostatic hyperplasia,Oncology – Solid Tumor,chemical,AR,,125MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Fluticasone Furoate,ARNUITY ELLIPTA,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,,0.0275MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluticasone Furoate; Umeclidinium Bromide; Vilanterol Trifenatate,TRELEGY ELLIPTA,Asthma,Respiratory – Obstructive,chemical,"NR3C1, CHRM3, ADRB2",,0.2MG//inh; 0.0625MG BASE//inh … inh,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluticasone Furoate; Umeclidinium Bromide; Vilanterol Trifenatate,TRELEGY ELLIPTA,COPD,Respiratory – Obstructive,chemical,"NR3C1, CHRM3, ADRB2",,0.2MG//inh; 0.0625MG BASE//inh … inh,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluticasone Furoate; Vilanterol Trifenatate,BREO ELLIPTA,Asthma,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",,0.2MG//inh; 0.025MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluticasone Furoate; Vilanterol Trifenatate,BREO ELLIPTA,COPD,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",,0.2MG//inh; 0.025MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluticasone Propionate,FLONASE ALLERGY RELIEF,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,0.02,0.093MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluticasone Propionate; Salmeterol Xinafoate,ADVAIR HFA,Asthma,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",0.39,0.232MG//inh; 0.014MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluvastatin Sodium,FLUVASTATIN SODIUM,Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,,80MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Fluvoxamine Maleate,FLUVOXAMINE MALEATE,Obsessive-compulsive disorder,Psychiatry – Anxiety,chemical,SLC6A4,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Folic Acid,FOLIC ACID,Anemia,Hematology – Anemia,chemical,,0.07,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Formoterol Fumarate,FORMOTEROL FUMARATE,COPD,Respiratory – Obstructive,chemical,ADRB2,0.01,0.02MG/2ML inh,As directed,Indefinite (lifelong maintenance)
