Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Orange Book,Brimonidine Tartrate; Brinzolamide,SIMBRINZA,Hypertension,Ophthalmology,chemical,"ADRA2A, CA2",0.01,0.2%; 1% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Brimonidine Tartrate; Brinzolamide,SIMBRINZA,Glaucoma / ocular hypertension,Ophthalmology,chemical,"ADRA2A, CA2",0.01,0.2%; 1% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Brimonidine Tartrate; Carbachol,YUVEZZI,Hypertension,Ophthalmology,chemical,"ADRA2A, CHRM3",,0.1%; 2.75% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Brimonidine Tartrate; Carbachol,YUVEZZI,Heart failure,Ophthalmology,chemical,"ADRA2A, CHRM3",,0.1%; 2.75% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Brimonidine Tartrate; Carbachol,YUVEZZI,Diabetic nephropathy,Ophthalmology,chemical,"ADRA2A, CHRM3",,0.1%; 2.75% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Brimonidine Tartrate; Timolol Maleate,COMBIGAN,Hypertension,Ophthalmology,chemical,"ADRA2A, ADRB1, ADRB2",0.03,0.2%; 0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Brimonidine Tartrate; Timolol Maleate,COMBIGAN,Glaucoma / ocular hypertension,Ophthalmology,chemical,"ADRA2A, ADRB1, ADRB2",0.03,0.2%; 0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Orange Book,Brinzolamide,AZOPT,Hypertension,Ophthalmology,chemical,CA2,0.00,1% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Brinzolamide,AZOPT,Glaucoma / ocular hypertension,Ophthalmology,chemical,CA2,0.00,1% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Brivaracetam,BRIVARACETAM,Epilepsy / seizures,Neurology – Epilepsy,chemical,SV2A,0.39,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Budesonide,BUDESONIDE,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,0.56,9MG oral,Once daily,Indefinite (lifelong maintenance)
Orange Book,Budesonide; Formoterol Fumarate,SYMBICORT AEROSPHERE,Asthma,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",,0.16MG//inh; 0.0048MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Orange Book,Budesonide; Formoterol Fumarate,SYMBICORT AEROSPHERE,COPD,Respiratory – Obstructive,chemical,"NR3C1, ADRB2",,0.16MG//inh; 0.0048MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
